date,AQI,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-01-01,195,÷–∂»Œ€»æ,147,181,63,1.7,99,61
2014-01-02,147,«·∂»Œ€»æ,113,131,37,1.6,95,60
2014-01-03,189,÷–∂»Œ€»æ,142,163,56,1.4,96,45
2014-01-04,151,÷–∂»Œ€»æ,115,125,36,1.2,64,38
2014-01-05,65,¡º,47,60,25,1,63,31
2014-01-06,43,”≈,30,39,20,0.8,50,61
2014-01-07,63,¡º,46,51,18,0.9,58,59
2014-01-08,54,¡º,38,36,17,0.7,39,61
2014-01-09,53,¡º,29,55,19,0.6,29,58
2014-01-10,64,¡º,46,78,25,0.8,47,61
2014-01-11,61,¡º,44,55,21,0.8,44,56
2014-01-12,113,«·∂»Œ€»æ,86,96,29,1,50,67
2014-01-13,73,¡º,54,59,24,0.7,32,59
2014-01-14,30,”≈,19,28,19,0.7,39,59
2014-01-15,39,”≈,27,38,20,0.6,41,64
2014-01-16,106,«·∂»Œ€»æ,80,93,27,1.1,69,60
2014-01-17,127,«·∂»Œ€»æ,97,111,35,1.4,90,35
2014-01-18,210,÷ÿ∂»Œ€»æ,160,174,42,1.3,54,63
2014-01-19,157,÷–∂»Œ€»æ,120,131,33,1.3,61,74
2014-01-20,238,÷ÿ∂»Œ€»æ,188,243,59,1.8,76,42
2014-01-21,76,¡º,51,102,29,1,44,42
2014-01-22,69,¡º,50,60,37,1,62,39
2014-01-23,57,¡º,41,48,20,0.7,48,61
2014-01-24,40,”≈,28,38,19,0.5,41,59
2014-01-25,119,«·∂»Œ€»æ,91,107,25,0.9,41,62
2014-01-26,49,”≈,30,49,16,0.6,25,73
2014-01-27,34,”≈,18,34,14,0.6,43,64
2014-01-28,69,¡º,50,66,24,0.8,42,64
2014-01-29,79,¡º,58,69,14,0.7,46,59
2014-01-30,238,÷ÿ∂»Œ€»æ,188,163,27,1.6,50,63
2014-01-31,188,÷–∂»Œ€»æ,142,106,18,1.1,26,104
2014-02-01,89,¡º,67,69,14,0.7,43,82
2014-02-02,240,÷ÿ∂»Œ€»æ,190,223,13,1.9,40,45
2014-02-03,62,¡º,45,57,11,0.6,19,64
2014-02-04,38,”≈,18,37,12,0.4,13,75
2014-02-05,37,”≈,14,22,11,0.4,20,73
2014-02-06,28,”≈,8,8,9,0.6,23,55
2014-02-07,27,”≈,12,13,9,0.5,23,53
2014-02-08,57,¡º,41,46,18,0.8,24,66
2014-02-09,63,¡º,45,53,17,0.7,21,63
2014-02-10,37,”≈,26,33,13,0.6,22,60
2014-02-11,50,”≈,35,42,17,0.7,29,63
2014-02-12,35,”≈,24,29,13,0.7,29,65
2014-02-13,38,”≈,24,34,12,0.6,23,76
2014-02-14,57,¡º,40,55,16,0.7,32,84
2014-02-15,41,”≈,29,36,14,0.5,35,79
2014-02-16,33,”≈,20,21,10,0.5,38,65
2014-02-17,37,”≈,26,24,12,0.7,42,63
2014-02-18,37,”≈,23,25,11,0.7,28,73
2014-02-19,80,¡º,59,68,24,1.1,52,55
2014-02-20,198,÷–∂»Œ€»æ,149,149,62,1.6,66,56
2014-02-21,132,«·∂»Œ€»æ,100,112,32,0.9,48,102
2014-02-22,76,¡º,56,57,16,0.7,39,83
2014-02-23,114,«·∂»Œ€»æ,86,97,23,0.8,43,102
2014-02-24,111,«·∂»Œ€»æ,84,69,15,0.9,56,75
2014-02-25,60,¡º,20,10,11,0.6,30,112
2014-02-26,64,¡º,47,54,10,1,48,111
2014-02-27,126,«·∂»Œ€»æ,96,108,29,1.3,84,56
2014-02-28,108,«·∂»Œ€»æ,81,89,12,1.1,43,75
2014-03-01,39,”≈,26,39,11,0.6,45,66
2014-03-02,71,¡º,51,78,21,0.9,39,107
2014-03-03,56,¡º,34,62,14,0.7,37,101
2014-03-04,41,”≈,23,36,17,0.7,52,81
2014-03-05,52,¡º,37,54,14,0.7,30,92
2014-03-06,42,”≈,22,41,14,0.6,32,84
2014-03-07,44,”≈,24,42,14,0.5,38,88
2014-03-08,63,¡º,45,59,16,0.6,32,116
2014-03-09,107,«·∂»Œ€»æ,80,101,31,1,76,93
2014-03-10,202,÷ÿ∂»Œ€»æ,152,171,35,1.3,79,107
2014-03-11,71,¡º,52,93,21,0.6,37,116
2014-03-12,41,”≈,29,31,15,0.7,46,79
2014-03-13,58,¡º,36,66,20,0.6,41,78
2014-03-14,106,«·∂»Œ€»æ,80,119,40,1,84,98
2014-03-15,113,«·∂»Œ€»æ,85,125,30,0.8,72,134
2014-03-16,93,¡º,70,107,23,0.7,57,138
2014-03-17,105,«·∂»Œ€»æ,79,111,24,1,70,115
2014-03-18,182,÷–∂»Œ€»æ,138,203,35,1.4,91,138
2014-03-19,122,«·∂»Œ€»æ,69,193,14,0.8,43,95
2014-03-20,83,¡º,61,98,18,0.8,38,108
2014-03-21,59,¡º,25,67,15,0.6,46,98
2014-03-22,76,¡º,41,76,17,0.6,51,131
2014-03-23,64,¡º,30,54,11,0.4,27,117
2014-03-24,53,¡º,31,55,15,0.6,35,92
2014-03-25,78,¡º,57,73,19,1,69,50
2014-03-26,112,«·∂»Œ€»æ,85,99,23,1.2,69,91
2014-03-27,57,¡º,40,56,10,0.6,48,97
2014-03-28,54,¡º,38,42,8,0.6,37,97
2014-03-29,90,¡º,67,75,16,1.2,65,49
2014-03-30,128,«·∂»Œ€»æ,97,117,24,1,49,123
2014-03-31,81,¡º,59,68,14,0.6,47,109
2014-04-01,64,¡º,46,61,13,0.7,45,116
2014-04-02,63,¡º,45,62,15,0.6,53,87
2014-04-03,71,¡º,47,62,15,0.6,44,125
2014-04-04,72,¡º,47,94,27,0.7,61,115
2014-04-05,80,¡º,59,105,25,0.7,55,106
2014-04-06,52,¡º,19,53,11,0.4,31,102
2014-04-07,53,¡º,34,56,12,0.5,36,104
2014-04-08,87,¡º,65,76,17,0.7,64,95
2014-04-09,90,¡º,67,69,12,0.7,48,120
2014-04-10,87,¡º,60,76,14,0.7,56,144
2014-04-11,69,¡º,50,69,10,0.6,35,107
2014-04-12,78,¡º,58,65,12,0.8,45,82
2014-04-13,62,¡º,45,36,12,0.7,31,112
2014-04-14,89,¡º,66,81,14,0.8,57,130
2014-04-15,76,¡º,49,65,16,0.6,42,131
2014-04-16,59,¡º,42,58,11,0.6,47,111
2014-04-17,187,÷–∂»Œ€»æ,141,158,30,1.5,87,27
2014-04-18,97,¡º,73,45,19,0.9,46,103
2014-04-19,53,¡º,24,22,8,0.6,28,103
2014-04-20,50,”≈,35,49,9,0.5,29,98
2014-04-21,64,¡º,46,51,11,0.7,46,96
2014-04-22,73,¡º,54,63,15,0.8,56,104
2014-04-23,95,¡º,71,97,17,1,72,125
2014-04-24,73,¡º,54,63,12,0.7,32,123
2014-04-25,68,¡º,28,49,9,0.5,23,122
2014-04-26,50,”≈,16,22,8,0.5,22,100
2014-04-27,79,¡º,58,62,15,1,43,86
2014-04-28,74,¡º,54,61,19,0.8,40,76
2014-04-29,98,¡º,74,101,33,1,59,144
2014-04-30,89,¡º,61,91,18,0.9,67,147
2014-05-01,126,«·∂»Œ€»æ,92,123,22,0.9,45,189
2014-05-02,111,«·∂»Œ€»æ,84,147,31,0.9,50,163
2014-05-03,73,¡º,37,84,15,0.6,30,127
2014-05-04,66,¡º,48,80,16,0.9,59,86
2014-05-05,70,¡º,31,77,15,0.5,38,124
2014-05-06,83,¡º,35,86,16,0.5,42,140
2014-05-07,90,¡º,42,87,18,0.6,38,148
2014-05-08,102,«·∂»Œ€»æ,72,112,24,0.9,54,162
2014-05-09,66,¡º,47,63,12,0.7,37,117
2014-05-10,55,¡º,39,48,7,0.7,24,103
2014-05-11,54,¡º,38,45,9,0.8,30,80
2014-05-12,109,«·∂»Œ€»æ,82,94,23,1.1,53,165
2014-05-13,83,¡º,58,84,20,0.8,47,139
2014-05-14,136,«·∂»Œ€»æ,73,77,19,1.1,47,200
2014-05-15,96,¡º,55,99,19,0.8,46,155
2014-05-16,98,¡º,53,99,17,0.7,51,157
2014-05-17,72,¡º,51,55,7,0.7,25,126
2014-05-18,58,¡º,27,43,7,0.6,24,109
2014-05-19,60,¡º,43,54,7,0.7,36,89
2014-05-20,90,¡º,67,65,14,0.9,45,131
2014-05-21,143,«·∂»Œ€»æ,92,120,19,0.9,46,207
2014-05-22,95,¡º,70,83,12,0.7,31,154
2014-05-23,63,¡º,24,38,8,0.5,23,116
2014-05-24,53,¡º,23,40,8,0.5,19,103
2014-05-25,112,«·∂»Œ€»æ,85,104,15,1,50,85
2014-05-26,149,«·∂»Œ€»æ,115,208,23,1,54,161
2014-05-27,193,÷–∂»Œ€»æ,145,239,29,1.1,61,190
2014-05-28,148,«·∂»Œ€»æ,114,200,36,0.9,66,175
2014-05-29,121,«·∂»Œ€»æ,78,179,29,0.8,65,183
2014-05-30,117,«·∂»Œ€»æ,87,164,28,0.8,58,179
2014-05-31,85,¡º,40,81,13,0.5,20,142
2014-06-01,62,¡º,22,31,10,0.5,16,114
2014-06-02,64,¡º,46,50,10,0.8,26,97
2014-06-03,56,¡º,40,53,18,0.7,33,96
2014-06-04,76,¡º,56,75,18,0.8,40,94
2014-06-05,59,¡º,42,57,11,0.7,36,107
2014-06-06,71,¡º,52,65,11,0.7,38,120
2014-06-07,101,«·∂»Œ€»æ,59,77,10,0.6,31,161
2014-06-08,57,¡º,41,50,7,0.5,25,97
2014-06-09,54,¡º,30,44,9,0.5,21,105
2014-06-10,40,”≈,26,40,8,0.6,25,74
2014-06-11,49,”≈,28,44,11,0.6,28,98
