date,AQI,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-01-01,158,÷–∂»Œ€»æ,121,216,53,1.8,38,29
2014-01-02,99,¡º,74,147,46,1.6,29,33
2014-01-03,96,¡º,69,142,53,1.5,33,29
2014-01-04,121,«·∂»Œ€»æ,92,164,51,1.6,37,33
2014-01-05,116,«·∂»Œ€»æ,88,163,53,1.7,36,26
2014-01-06,95,¡º,66,139,40,1.3,28,60
2014-01-07,53,¡º,16,57,23,1.3,27,57
2014-01-08,52,¡º,23,54,28,1.4,35,55
2014-01-09,83,¡º,54,117,43,2.3,52,42
2014-01-10,85,¡º,56,120,37,1.7,47,46
2014-01-11,74,¡º,42,99,31,1.5,39,48
2014-01-12,82,¡º,50,113,43,2,45,35
2014-01-13,101,«·∂»Œ€»æ,75,151,45,2.4,52,50
2014-01-14,101,«·∂»Œ€»æ,76,150,56,2.2,47,46
2014-01-15,377,—œ÷ÿŒ€»æ,327,155,46,2.3,51,44
2014-01-16,110,«·∂»Œ€»æ,83,160,55,2.2,61,129
2014-01-17,132,«·∂»Œ€»æ,100,199,52,2,53,53
2014-01-18,131,«·∂»Œ€»æ,100,191,38,2,48,58
2014-01-19,141,«·∂»Œ€»æ,51,231,27,1.3,27,59
2014-01-20,112,«·∂»Œ€»æ,84,166,44,2.3,50,43
2014-01-21,111,«·∂»Œ€»æ,84,133,43,2.2,48,27
2014-01-22,136,«·∂»Œ€»æ,103,145,54,2.8,70,49
2014-01-23,145,«·∂»Œ€»æ,111,149,53,2.7,67,54
2014-01-24,75,¡º,37,100,29,1.1,31,58
2014-01-25,67,¡º,48,80,35,1.5,45,56
2014-01-26,100,¡º,75,112,50,2.6,55,41
2014-01-27,89,¡º,66,104,31,2.2,42,66
2014-01-28,71,¡º,52,76,38,1.6,47,69
2014-01-29,112,«·∂»Œ€»æ,85,133,42,2,59,91
2014-01-30,96,¡º,72,129,44,1.9,54,94
2014-01-31,151,÷–∂»Œ€»æ,116,159,55,2.3,56,82
2014-02-01,106,«·∂»Œ€»æ,80,108,50,2.1,53,73
2014-02-02,113,«·∂»Œ€»æ,85,129,41,2.3,47,66
2014-02-03,74,¡º,23,98,23,0.8,19,58
2014-02-04,67,¡º,38,83,31,1.1,26,61
2014-02-05,72,¡º,39,93,24,0.8,16,43
2014-02-06,74,¡º,45,98,21,0.8,15,47
2014-02-07,104,«·∂»Œ€»æ,66,158,15,1,23,48
2014-02-08,89,¡º,66,121,23,0.7,15,54
2014-02-09,46,”≈,31,46,15,0.6,12,54
2014-02-10,79,¡º,58,72,19,1.1,24,58
2014-02-11,88,¡º,65,87,21,1.1,25,66
2014-02-12,68,¡º,50,70,15,0.7,19,59
2014-02-13,98,¡º,73,94,21,1.4,31,63
2014-02-14,117,«·∂»Œ€»æ,89,111,31,1.5,46,63
2014-02-15,100,¡º,75,100,42,1.8,45,52
2014-02-16,92,¡º,68,83,30,1.6,37,54
2014-02-17,99,¡º,74,88,38,1.5,45,58
2014-02-18,89,¡º,66,101,43,2.3,53,66
2014-02-19,75,¡º,55,99,49,2,70,60
2014-02-20,98,¡º,73,139,50,2.7,73,48
2014-02-21,88,¡º,66,109,38,1.7,63,65
2014-02-22,148,«·∂»Œ€»æ,113,121,33,1.8,55,96
2014-02-23,101,«·∂»Œ€»æ,76,125,34,2,52,64
2014-02-24,86,¡º,64,104,26,1.5,45,55
2014-02-25,97,¡º,67,144,24,1.6,42,67
2014-02-26,210,÷ÿ∂»Œ€»æ,160,184,15,0.6,22,70
2014-02-27,93,¡º,41,136,25,1.4,56,59
2014-02-28,92,¡º,33,133,20,0.7,26,74
2014-03-01,93,¡º,42,137,30,1.2,43,67
2014-03-02,84,¡º,40,118,23,0.8,38,71
2014-03-03,87,¡º,43,124,18,1,34,76
2014-03-04,86,¡º,30,122,21,0.8,40,73
2014-03-05,99,¡º,38,148,25,0.8,41,118
2014-03-06,87,¡º,41,124,35,1,45,115
2014-03-07,77,¡º,47,104,25,1,36,107
2014-03-08,97,¡º,60,145,29,1.4,59,126
2014-03-09,106,«·∂»Œ€»æ,69,162,41,1.9,74,87
2014-03-10,99,¡º,64,148,36,1.6,61,60
2014-03-11,89,¡º,33,128,21,0.8,26,69
2014-03-12,85,¡º,27,120,19,0.5,18,65
2014-03-13,95,¡º,47,140,32,1,57,74
2014-03-14,120,«·∂»Œ€»æ,64,190,41,1.8,75,71
2014-03-15,127,«·∂»Œ€»æ,80,205,53,2.2,88,90
2014-03-16,111,«·∂»Œ€»æ,66,173,41,1.7,65,78
