date,AQI,质量等级,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-01-01,177,中度污染,134,248,45,1.9,96,55
2014-01-02,209,重度污染,159,288,76,2.4,130,46
2014-01-03,255,重度污染,205,355,79,2.1,113,31
2014-01-04,221,重度污染,171,284,58,1.7,79,19
2014-01-05,255,重度污染,205,333,55,2.1,95,35
2014-01-06,181,中度污染,136,218,54,1.3,70,81
2014-01-07,104,轻度污染,78,110,25,1,55,63
2014-01-08,78,良,58,69,15,1.1,38,62
2014-01-09,65,良,41,79,25,0.7,45,51
2014-01-10,112,轻度污染,85,141,43,0.9,71,56
2014-01-11,128,轻度污染,97,150,50,1.2,76,32
2014-01-12,181,中度污染,137,188,52,1.3,71,63
2014-01-13,161,中度污染,123,183,46,1,62,40
2014-01-14,94,良,70,119,51,0.9,73,42
2014-01-15,108,轻度污染,81,129,43,0.7,71,64
2014-01-16,121,轻度污染,92,149,44,1,87,53
2014-01-17,198,中度污染,149,240,47,1.6,103,75
2014-01-18,347,严重污染,297,391,71,2.1,79,56
2014-01-19,327,严重污染,277,371,67,2,88,80
2014-01-20,162,中度污染,124,261,42,1,60,68
2014-01-21,100,良,51,149,52,0.9,60,42
2014-01-22,80,良,58,111,47,0.8,70,74
2014-01-23,117,轻度污染,89,145,55,1,88,79
2014-01-24,119,轻度污染,90,151,47,1.3,95,63
2014-01-25,239,重度污染,189,267,50,1.7,80,51
2014-01-26,81,良,60,105,29,0.7,42,59
2014-01-27,76,良,56,103,31,1.1,58,47
2014-01-28,172,中度污染,130,191,38,1.4,65,50
2014-01-29,122,轻度污染,92,129,20,1.3,44,51
2014-01-30,267,重度污染,217,270,46,2.4,61,77
2014-01-31,297,重度污染,247,312,25,2,43,75
2014-02-01,242,重度污染,192,238,23,1.9,40,53
2014-02-02,219,重度污染,169,258,14,2.3,39,39
2014-02-03,118,轻度污染,89,186,10,1.4,29,59
2014-02-04,56,良,29,62,18,0.6,20,85
2014-02-05,40,优,23,36,12,0.7,24,79
2014-02-06,24,优,14,18,9,0.7,28,47
2014-02-07,110,轻度污染,83,92,19,1.1,31,47
2014-02-08,107,轻度污染,81,99,32,0.9,26,76
2014-02-09,84,良,63,80,21,0.8,20,74
2014-02-10,57,良,41,58,22,0.6,23,62
2014-02-11,84,良,62,84,34,0.8,35,70
2014-02-12,75,良,55,78,24,0.7,46,64
2014-02-13,91,良,68,89,20,1,37,71
2014-02-14,128,轻度污染,97,134,32,1.2,53,94
2014-02-15,140,轻度污染,107,150,41,1.3,62,97
2014-02-16,84,良,62,81,20,1,56,54
2014-02-17,51,良,36,48,9,0.9,39,58
2014-02-18,67,良,49,59,10,0.8,35,60
2014-02-19,105,轻度污染,79,103,20,0.7,39,84
2014-02-20,122,轻度污染,92,128,27,1.1,58,66
2014-02-21,181,中度污染,137,184,51,1.1,47,114
2014-02-22,176,中度污染,133,180,49,1.2,65,103
2014-02-23,122,轻度污染,93,136,42,1.1,54,95
2014-02-24,141,轻度污染,108,152,41,1.1,59,73
2014-02-25,62,良,45,56,17,0.8,67,34
2014-02-26,64,良,46,65,17,0.7,61,53
2014-02-27,124,轻度污染,94,135,24,1.3,79,18
2014-02-28,61,良,44,54,21,0.8,51,27
2014-03-01,55,良,38,61,16,0.6,47,56
2014-03-02,119,轻度污染,90,144,41,0.8,68,96
2014-03-03,99,良,74,135,38,0.9,49,106
2014-03-04,75,良,55,93,23,0.7,56,86
2014-03-05,87,良,64,106,30,0.6,48,82
2014-03-06,71,良,50,92,32,0.6,48,76
2014-03-07,86,良,64,117,41,0.7,65,77
2014-03-08,85,良,63,100,31,0.6,52,89
2014-03-09,96,良,72,126,29,0.9,78,91
2014-03-10,134,轻度污染,102,177,37,1,73,134
2014-03-11,169,中度污染,128,193,42,0.9,55,122
2014-03-12,126,轻度污染,96,127,18,1,58,102
2014-03-13,81,良,46,111,23,0.5,40,101
2014-03-14,97,良,59,145,29,0.7,68,104
2014-03-15,115,轻度污染,75,180,61,1.2,96,114
2014-03-16,113,轻度污染,85,169,55,1.2,87,132
2014-03-17,102,轻度污染,77,153,38,1,83,126
2014-03-18,256,重度污染,120,389,50,1.1,85,122
2014-03-19,134,轻度污染,73,218,21,0.6,48,92
2014-03-20,109,轻度污染,82,143,43,0.8,48,120
2014-03-21,92,良,59,133,33,0.6,70,103
