date,AQI,质量等级,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-01-01,159,中度污染,121,192,57,1.9,73,47
2014-01-02,171,中度污染,129,192,52,1.9,73,47
2014-01-03,136,轻度污染,104,166,44,1.5,60,56
2014-01-04,93,良,70,130,46,1.1,39,58
2014-01-05,132,轻度污染,101,167,44,1.5,55,73
2014-01-06,137,轻度污染,105,161,44,1.3,53,54
2014-01-07,126,轻度污染,96,116,26,1.5,42,34
2014-01-08,109,轻度污染,82,92,18,1.8,40,19
2014-01-09,101,轻度污染,76,90,29,1.4,34,42
2014-01-10,68,良,50,71,32,1,31,39
2014-01-11,44,优,31,34,14,0.9,24,33
2014-01-12,56,良,40,51,17,1,27,36
2014-01-13,107,轻度污染,81,105,31,1.2,38,43
2014-01-14,161,中度污染,123,161,38,1.5,41,44
2014-01-15,118,轻度污染,89,113,36,1.1,32,64
2014-01-16,107,轻度污染,80,120,42,1.2,50,57
2014-01-17,101,轻度污染,76,116,35,1.1,48,74
2014-01-18,151,中度污染,116,158,47,1.2,37,64
2014-01-19,196,中度污染,147,210,58,1.7,64,76
2014-01-20,119,轻度污染,90,153,31,1,41,66
2014-01-21,83,良,40,115,32,0.7,27,48
2014-01-22,73,良,51,96,39,0.8,40,59
2014-01-23,114,轻度污染,86,138,38,1.3,58,64
2014-01-24,113,轻度污染,86,143,34,1.6,57,72
2014-01-25,196,中度污染,147,225,43,1.8,53,72
2014-01-26,205,重度污染,155,222,47,1.7,46,62
2014-01-27,131,轻度污染,100,146,29,1.3,44,58
2014-01-28,158,中度污染,121,169,22,1.4,41,58
2014-01-29,177,中度污染,134,173,33,1.6,42,43
2014-01-30,261,重度污染,211,267,45,2.2,39,69
2014-01-31,335,严重污染,285,359,57,2,34,81
2014-02-01,76,良,55,83,16,0.9,21,98
2014-02-02,97,良,72,104,13,1.2,25,92
2014-02-03,98,良,73,132,17,1.6,23,54
2014-02-04,57,良,24,65,17,0.7,16,33
2014-02-05,31,优,22,31,14,0.7,17,33
2014-02-06,10,优,7,9,9,0.8,16,18
2014-02-07,21,优,13,21,9,0.7,15,21
2014-02-08,40,优,28,35,14,0.7,15,36
2014-02-09,70,良,51,60,22,1.1,17,47
2014-02-10,47,优,33,44,16,0.7,13,60
2014-02-11,50,优,35,50,20,0.6,15,59
2014-02-12,66,良,47,65,27,0.7,25,51
2014-02-13,48,优,34,39,14,0.7,21,40
