date,AQI,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-01-01,166,÷–∂»Œ€»æ,126,156,28,1.5,43,37
2014-01-02,220,÷ÿ∂»Œ€»æ,170,223,47,2.2,59,31
2014-01-03,205,÷ÿ∂»Œ€»æ,155,184,46,1.5,43,29
2014-01-04,252,÷ÿ∂»Œ€»æ,202,252,50,2.5,50,24
2014-01-05,246,÷ÿ∂»Œ€»æ,196,227,56,2.4,56,31
2014-01-06,229,÷ÿ∂»Œ€»æ,179,191,37,1.9,59,34
2014-01-07,145,«·∂»Œ€»æ,111,71,19,1.3,37,32
2014-01-08,205,÷ÿ∂»Œ€»æ,155,100,22,1.7,31,39
2014-01-09,98,¡º,74,57,18,0.9,27,26
2014-01-10,120,«·∂»Œ€»æ,91,106,19,1.3,37,28
2014-01-11,152,÷–∂»Œ€»æ,116,124,23,1.4,43,18
2014-01-12,201,÷ÿ∂»Œ€»æ,151,140,21,1.3,36,46
2014-01-13,267,÷ÿ∂»Œ€»æ,217,181,30,2,36,31
2014-01-14,167,÷–∂»Œ€»æ,127,99,25,1.6,38,30
2014-01-15,162,÷–∂»Œ€»æ,124,132,33,1.3,44,33
2014-01-16,157,÷–∂»Œ€»æ,120,129,34,1.3,46,36
2014-01-17,266,÷ÿ∂»Œ€»æ,216,207,30,1.7,41,48
2014-01-18,401,—œ÷ÿŒ€»æ,352,374,51,2.5,49,37
2014-01-19,342,—œ÷ÿŒ€»æ,292,258,38,2.4,46,42
2014-01-20,122,«·∂»Œ€»æ,92,148,30,0.9,28,40
2014-01-21,109,«·∂»Œ€»æ,82,131,29,1,38,34
2014-01-22,90,¡º,67,95,40,1,37,40
2014-01-23,116,«·∂»Œ€»æ,88,116,31,0.9,32,51
2014-01-24,167,÷–∂»Œ€»æ,127,164,29,1.1,31,72
2014-01-25,355,—œ÷ÿŒ€»æ,305,330,42,2.6,46,55
2014-01-26,115,«·∂»Œ€»æ,87,31,23,0.9,25,39
2014-01-27,104,«·∂»Œ€»æ,78,99,24,1.1,37,33
2014-01-28,212,÷ÿ∂»Œ€»æ,162,164,25,1.5,36,43
2014-01-29,160,÷–∂»Œ€»æ,122,102,19,1.3,28,48
2014-01-30,233,÷ÿ∂»Œ€»æ,183,250,30,2,33,52
2014-01-31,283,÷ÿ∂»Œ€»æ,233,242,39,1.9,25,60
2014-02-01,316,—œ÷ÿŒ€»æ,266,334,17,2.4,21,40
2014-02-02,252,÷ÿ∂»Œ€»æ,202,271,15,2.8,31,43
2014-02-03,123,«·∂»Œ€»æ,93,96,13,1.6,20,42
2014-02-04,39,”≈,28,37,16,0.4,15,40
2014-02-05,44,”≈,31,19,18,0.6,20,47
2014-02-06,27,”≈,13,16,17,0.4,17,53
2014-02-07,98,¡º,73,93,20,0.8,17,33
2014-02-08,110,«·∂»Œ€»æ,83,88,21,0.8,16,34
2014-02-09,96,¡º,72,73,19,0.7,14,30
2014-02-10,60,¡º,43,44,17,0.4,14,40
2014-02-11,88,¡º,65,70,19,0.6,20,44
2014-02-12,77,¡º,57,58,16,0.6,20,46
2014-02-13,92,¡º,69,31,13,0.8,18,47
2014-02-14,179,÷–∂»Œ€»æ,135,115,15,1.2,28,46
2014-02-15,183,÷–∂»Œ€»æ,138,129,20,1.4,33,45
2014-02-16,116,«·∂»Œ€»æ,88,74,15,1.1,29,32
2014-02-17,65,¡º,47,39,10,0.7,19,34
2014-02-18,62,¡º,45,43,13,0.6,19,49
2014-02-19,80,¡º,59,48,13,0.7,22,44
2014-02-20,100,¡º,75,82,19,1,30,36
2014-02-21,129,«·∂»Œ€»æ,98,119,27,1,28,46
2014-02-22,206,÷ÿ∂»Œ€»æ,156,160,34,1.4,32,47
2014-02-23,135,«·∂»Œ€»æ,103,117,27,1.2,32,44
2014-02-24,163,÷–∂»Œ€»æ,124,117,28,1.3,30,37
2014-02-25,73,¡º,53,28,12,1,29,32
2014-02-26,68,¡º,50,48,14,0.9,24,44
2014-02-27,102,«·∂»Œ€»æ,76,84,17,1.1,28,32
2014-02-28,49,”≈,34,23,15,1,19,36
2014-03-01,67,¡º,48,46,13,0.6,21,33
2014-03-02,129,«·∂»Œ€»æ,98,114,27,1,28,45
2014-03-03,113,«·∂»Œ€»æ,85,108,28,0.9,28,50
2014-03-04,72,¡º,53,81,17,0.7,25,62
2014-03-05,105,«·∂»Œ€»æ,79,87,18,0.8,27,47
2014-03-06,67,¡º,49,68,20,0.7,26,44
2014-03-07,82,¡º,61,80,25,0.9,32,44
2014-03-08,73,¡º,53,73,18,0.7,29,33
2014-03-09,114,«·∂»Œ€»æ,87,111,19,1,35,43
2014-03-10,116,«·∂»Œ€»æ,88,122,24,1,39,69
2014-03-11,123,«·∂»Œ€»æ,93,127,27,1,33,53
2014-03-12,97,¡º,73,75,16,0.9,24,43
2014-03-13,82,¡º,61,87,23,0.7,25,47
2014-03-14,89,¡º,66,106,23,0.8,34,61
2014-03-15,99,¡º,74,123,22,0.8,40,61
2014-03-16,97,¡º,73,117,32,0.8,33,61
2014-03-17,89,¡º,66,106,25,0.9,29,60
2014-03-18,149,«·∂»Œ€»æ,114,237,25,1.5,42,72
2014-03-19,115,«·∂»Œ€»æ,87,179,13,0.7,22,56
2014-03-20,118,«·∂»Œ€»æ,89,116,23,0.9,28,52
2014-03-21,94,¡º,70,106,21,0.8,40,57
2014-03-22,98,¡º,73,111,23,0.9,42,61
2014-03-23,103,«·∂»Œ€»æ,77,127,27,1,50,53
2014-03-24,130,«·∂»Œ€»æ,99,144,22,1.1,40,39
2014-03-25,86,¡º,63,49,10,1,31,36
2014-03-26,98,¡º,73,87,14,1.3,37,40
2014-03-27,124,«·∂»Œ€»æ,95,126,20,1.2,34,56
2014-03-28,103,«·∂»Œ€»æ,77,95,13,1,26,57
2014-03-29,153,÷–∂»Œ€»æ,117,136,16,1.3,32,37
2014-03-30,149,«·∂»Œ€»æ,114,124,20,1.3,31,53
2014-03-31,66,¡º,48,61,21,0.7,30,38
2014-04-01,118,«·∂»Œ€»æ,90,115,31,1.1,38,56
2014-04-02,102,«·∂»Œ€»æ,77,102,21,1,38,62
2014-04-03,97,¡º,72,97,16,0.8,22,66
2014-04-04,95,¡º,71,96,17,0.7,30,67
2014-04-05,97,¡º,73,114,15,0.8,32,69
2014-04-06,61,¡º,29,72,17,0.6,31,48
2014-04-07,82,¡º,61,102,25,0.8,37,40
2014-04-08,119,«·∂»Œ€»æ,90,120,11,1.1,38,55
2014-04-09,116,«·∂»Œ€»æ,88,127,18,1.2,43,70
2014-04-10,102,«·∂»Œ€»æ,77,119,24,1.2,39,67
2014-04-11,137,«·∂»Œ€»æ,105,100,15,1.5,51,47
2014-04-12,72,¡º,53,34,10,0.8,24,32
2014-04-13,46,”≈,33,34,7,0.5,22,46
2014-04-14,87,¡º,65,85,18,0.9,32,69
2014-04-15,119,«·∂»Œ€»æ,90,96,16,0.8,31,61
2014-04-16,97,¡º,73,56,9,0.8,20,44
2014-04-17,96,¡º,72,61,7,0.8,18,40
2014-04-18,115,«·∂»Œ€»æ,87,80,10,0.9,23,29
2014-04-19,56,¡º,40,31,8,0.5,16,43
2014-04-20,76,¡º,56,56,10,0.6,19,46
2014-04-21,105,«·∂»Œ€»æ,79,60,15,0.9,28,31
2014-04-22,98,¡º,74,69,14,0.8,24,69
2014-04-23,83,¡º,62,78,18,0.9,33,58
2014-04-24,84,¡º,62,100,22,0.9,32,67
2014-04-25,65,¡º,47,57,13,0.8,24,53
2014-04-26,73,¡º,54,44,9,0.7,14,23
2014-04-27,69,¡º,50,50,8,0.6,15,33
2014-04-28,61,¡º,44,60,14,0.6,20,64
2014-04-29,78,¡º,58,99,18,0.8,32,77
2014-04-30,90,¡º,66,131,24,1,40,79
2014-05-01,83,¡º,62,112,15,0.9,32,76
2014-05-02,127,«·∂»Œ€»æ,63,205,17,0.6,27,53
2014-05-03,110,«·∂»Œ€»æ,60,170,22,0.8,29,67
2014-05-04,105,«·∂»Œ€»æ,79,134,15,0.9,24,44
2014-05-05,81,¡º,47,113,20,0.7,29,58
2014-05-06,80,¡º,56,111,22,0.9,35,76
2014-05-07,80,¡º,57,111,16,0.7,28,72
2014-05-08,132,«·∂»Œ€»æ,101,177,21,1.1,37,87
2014-05-09,98,¡º,73,128,23,0.9,26,82
2014-05-10,84,¡º,63,87,13,0.7,21,60
2014-05-11,68,¡º,50,59,10,0.9,18,53
2014-05-12,72,¡º,52,94,12,0.8,28,63
2014-05-13,88,¡º,64,125,18,1,32,66
2014-05-14,87,¡º,65,94,11,0.8,21,53
2014-05-15,79,¡º,43,107,16,0.6,22,65
2014-05-16,104,«·∂»Œ€»æ,68,158,21,0.9,36,65
2014-05-17,86,¡º,62,122,11,0.7,27,44
2014-05-18,143,«·∂»Œ€»æ,110,160,18,1.1,29,72
2014-05-19,113,«·∂»Œ€»æ,86,101,14,1,27,48
2014-05-20,125,«·∂»Œ€»æ,95,137,16,1,28,70
2014-05-21,204,÷ÿ∂»Œ€»æ,154,217,27,1.3,35,87
2014-05-22,109,«·∂»Œ€»æ,82,149,24,0.9,26,76
2014-05-23,64,¡º,41,78,19,0.6,22,64
2014-05-24,61,¡º,41,72,18,0.7,24,38
2014-05-25,74,¡º,54,99,11,0.8,24,69
2014-05-26,179,÷–∂»Œ€»æ,107,309,16,0.7,29,75
2014-05-27,124,«·∂»Œ€»æ,73,197,17,0.6,28,70
2014-05-28,142,«·∂»Œ€»æ,99,234,26,0.9,39,99
2014-05-29,177,÷–∂»Œ€»æ,134,293,26,1.1,41,67
2014-05-30,140,«·∂»Œ€»æ,99,230,25,0.9,31,82
2014-05-31,158,÷–∂»Œ€»æ,120,201,28,1.1,29,64
2014-06-01,67,¡º,46,83,19,1,24,52
2014-06-02,62,¡º,44,51,13,0.6,16,64
2014-06-03,93,¡º,69,83,23,0.6,20,87
2014-06-04,99,¡º,74,117,20,0.8,25,107
2014-06-05,129,«·∂»Œ€»æ,98,147,22,1,32,117
2014-06-06,175,÷–∂»Œ€»æ,133,191,30,1.5,29,117
