date,AQI,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-01-01,141,«·∂»Œ€»æ,108,141,102,1.3,55,31
2014-01-02,131,«·∂»Œ€»æ,100,140,123,1.4,68,25
2014-01-03,191,÷–∂»Œ€»æ,144,197,137,1.7,73,28
2014-01-04,247,÷ÿ∂»Œ€»æ,197,246,146,2.2,91,19
2014-01-05,412,—œ÷ÿŒ€»æ,369,450,184,3.2,123,22
2014-01-06,217,÷ÿ∂»Œ€»æ,167,216,173,1.4,85,26
2014-01-07,150,«·∂»Œ€»æ,115,148,104,1.4,62,28
2014-01-08,77,¡º,56,71,82,1,47,33
2014-01-09,90,¡º,67,89,94,1,54,32
2014-01-10,119,«·∂»Œ€»æ,90,127,125,1.2,61,29
2014-01-11,114,«·∂»Œ€»æ,86,124,111,1.2,59,23
2014-01-12,80,¡º,59,81,91,0.9,45,34
2014-01-13,195,÷–∂»Œ€»æ,147,162,141,1.4,70,29
2014-01-14,207,÷ÿ∂»Œ€»æ,157,209,178,1.6,85,22
2014-01-15,200,÷–∂»Œ€»æ,150,200,168,1.4,78,30
2014-01-16,157,÷–∂»Œ€»æ,120,171,127,1.4,66,28
2014-01-17,216,÷ÿ∂»Œ€»æ,166,201,158,1.6,84,28
2014-01-18,223,÷ÿ∂»Œ€»æ,173,232,155,1.9,88,29
2014-01-19,173,÷–∂»Œ€»æ,131,180,163,1.4,78,19
2014-01-20,130,«·∂»Œ€»æ,99,131,138,1.2,70,26
2014-01-21,193,÷–∂»Œ€»æ,145,192,107,1.7,72,24
2014-01-22,215,÷ÿ∂»Œ€»æ,165,225,214,1.6,94,35
2014-01-23,126,«·∂»Œ€»æ,96,144,178,1.2,70,45
2014-01-24,162,÷–∂»Œ€»æ,123,165,98,1.7,68,46
2014-01-25,181,÷–∂»Œ€»æ,137,189,85,1.7,82,36
2014-01-26,113,«·∂»Œ€»æ,86,125,96,1.1,60,49
2014-01-27,66,¡º,45,83,80,0.8,47,47
2014-01-28,54,¡º,36,59,58,0.8,37,52
2014-01-29,76,¡º,56,98,99,1,54,51
2014-01-30,74,¡º,54,72,64,1,34,55
2014-01-31,220,÷ÿ∂»Œ€»æ,170,205,118,1.3,54,55
2014-02-01,147,«·∂»Œ€»æ,113,163,133,1.2,65,49
2014-02-02,78,¡º,56,106,68,0.9,37,57
2014-02-03,46,”≈,28,46,54,0.8,31,57
2014-02-04,75,¡º,55,79,78,1,42,50
2014-02-05,124,«·∂»Œ€»æ,94,134,91,1.5,60,52
2014-02-06,123,«·∂»Œ€»æ,93,136,96,1.2,55,55
2014-02-07,198,÷–∂»Œ€»æ,148,213,198,1.6,108,40
2014-02-08,142,«·∂»Œ€»æ,108,146,133,1.5,73,48
2014-02-09,73,¡º,54,85,101,1,52,49
2014-02-10,134,«·∂»Œ€»æ,102,154,125,1.6,73,48
2014-02-11,148,«·∂»Œ€»æ,114,173,172,1.6,87,42
2014-02-12,149,«·∂»Œ€»æ,114,166,121,1.6,84,44
2014-02-13,133,«·∂»Œ€»æ,102,150,118,1.6,77,49
