date,AQI,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-01-01,131,«·∂»Œ€»æ,91,212,123,2.3,75,28
2014-01-02,146,«·∂»Œ€»æ,112,224,133,3,96,10
2014-01-03,109,«·∂»Œ€»æ,83,148,108,2.3,71,25
2014-01-04,69,¡º,50,73,120,1.4,65,22
2014-01-05,121,«·∂»Œ€»æ,92,143,109,2.6,67,31
2014-01-06,138,«·∂»Œ€»æ,106,142,86,2.2,69,19
2014-01-07,137,«·∂»Œ€»æ,105,147,105,2.2,67,24
2014-01-08,54,¡º,34,59,59,1.2,44,45
2014-01-09,70,¡º,47,91,80,1.4,57,36
2014-01-10,203,÷ÿ∂»Œ€»æ,153,242,150,2.5,86,18
2014-01-11,357,—œ÷ÿŒ€»æ,307,431,146,4.3,111,13
2014-01-12,130,«·∂»Œ€»æ,99,151,78,1.9,62,48
2014-01-13,113,«·∂»Œ€»æ,85,137,133,2.3,75,21
2014-01-14,148,«·∂»Œ€»æ,114,191,136,3.2,84,14
2014-01-15,319,—œ÷ÿŒ€»æ,269,392,176,4.8,113,13
2014-01-16,283,÷ÿ∂»Œ€»æ,233,302,107,3.8,85,8
2014-01-17,129,«·∂»Œ€»æ,98,127,113,2.3,64,16
2014-01-18,246,÷ÿ∂»Œ€»æ,196,269,142,4.3,88,24
2014-01-19,247,÷ÿ∂»Œ€»æ,197,267,163,3.6,93,14
2014-01-20,67,¡º,18,84,43,1.2,28,52
2014-01-21,26,”≈,18,24,55,1.4,35,34
2014-01-22,140,«·∂»Œ€»æ,107,185,151,2.4,80,24
2014-01-23,162,÷–∂»Œ€»æ,123,204,143,2.4,90,21
2014-01-24,245,÷ÿ∂»Œ€»æ,195,300,176,4.7,114,8
2014-01-25,91,¡º,68,106,101,1.8,61,38
2014-01-26,57,¡º,35,65,71,1.5,56,39
2014-01-27,137,«·∂»Œ€»æ,105,178,100,2.3,73,25
2014-01-28,78,¡º,50,106,70,1.6,49,49
2014-01-29,106,«·∂»Œ€»æ,80,145,120,1.8,60,28
2014-01-30,146,«·∂»Œ€»æ,112,186,89,2.4,48,54
2014-01-31,158,÷–∂»Œ€»æ,120,206,125,3.2,44,38
2014-02-01,73,¡º,53,65,44,1.6,34,21
2014-02-02,95,¡º,71,121,54,1.7,33,56
2014-02-03,54,¡º,12,57,37,0.9,17,63
2014-02-04,45,”≈,20,45,62,1.1,24,57
2014-02-05,54,¡º,34,59,96,1.4,40,54
2014-02-06,58,¡º,41,65,87,1.6,45,48
2014-02-07,68,¡º,49,70,84,1.9,51,32
2014-02-08,89,¡º,66,93,87,2.3,48,46
2014-02-09,31,”≈,14,23,46,1.3,24,62
2014-02-10,52,¡º,34,54,104,1.8,49,49
2014-02-11,84,¡º,62,85,102,2,59,58
2014-02-12,192,÷–∂»Œ€»æ,144,196,159,3.5,85,27
2014-02-13,130,«·∂»Œ€»æ,99,129,83,2.1,57,69
2014-02-14,228,÷ÿ∂»Œ€»æ,178,237,202,2.7,80,45
2014-02-15,246,÷ÿ∂»Œ€»æ,196,249,115,2.5,72,52
2014-02-16,219,÷ÿ∂»Œ€»æ,169,230,99,3.1,71,42
2014-02-17,62,¡º,43,74,72,1.6,46,59
2014-02-18,60,¡º,39,70,72,1.6,53,44
2014-02-19,78,¡º,57,91,100,1.7,63,42
2014-02-20,116,«·∂»Œ€»æ,88,111,96,1.5,62,41
2014-02-21,236,÷ÿ∂»Œ€»æ,186,276,200,3.3,118,14
2014-02-22,251,÷ÿ∂»Œ€»æ,201,265,119,2.9,96,29
2014-02-23,191,÷–∂»Œ€»æ,144,170,67,1.9,66,19
2014-02-24,237,÷ÿ∂»Œ€»æ,187,259,185,3,97,16
2014-02-25,289,÷ÿ∂»Œ€»æ,239,329,213,4.1,126,20
2014-02-26,252,÷ÿ∂»Œ€»æ,202,276,109,3,94,58
2014-02-27,54,¡º,38,45,39,1.1,37,66
2014-02-28,58,¡º,29,66,67,1,53,51
2014-03-01,87,¡º,65,112,71,1.8,66,56
2014-03-02,208,÷ÿ∂»Œ€»æ,158,236,119,3.1,107,29
2014-03-03,187,÷–∂»Œ€»æ,141,200,87,2.5,76,26
2014-03-04,125,«·∂»Œ€»æ,95,137,75,2.5,59,63
2014-03-05,79,¡º,58,88,64,1.7,52,63
2014-03-06,57,¡º,35,64,59,1.6,48,62
2014-03-07,84,¡º,62,108,114,2,69,46
2014-03-08,193,÷–∂»Œ€»æ,145,209,118,2.7,87,41
2014-03-09,105,«·∂»Œ€»æ,79,119,81,2,54,64
2014-03-10,122,«·∂»Œ€»æ,93,152,112,2.5,83,46
2014-03-11,244,÷ÿ∂»Œ€»æ,194,247,98,2.5,88,75
2014-03-12,77,¡º,50,103,49,1.1,41,67
2014-03-13,86,¡º,64,100,78,1.6,61,62
2014-03-14,83,¡º,40,115,39,1,44,67
2014-03-15,173,÷–∂»Œ€»æ,131,235,101,2.3,90,52
2014-03-16,195,÷–∂»Œ€»æ,146,213,79,2.1,77,56
2014-03-17,169,÷–∂»Œ€»æ,129,268,73,2,67,52
2014-03-18,122,«·∂»Œ€»æ,66,194,52,1.4,57,66
2014-03-19,96,¡º,72,108,48,1.4,72,52
2014-03-20,58,¡º,37,66,27,1,45,69
2014-03-21,123,«·∂»Œ€»æ,93,136,59,1.9,74,74
2014-03-22,121,«·∂»Œ€»æ,92,182,46,1.4,60,73
2014-03-23,212,÷ÿ∂»Œ€»æ,162,233,79,2.5,90,94
2014-03-24,184,÷–∂»Œ€»æ,139,174,65,1.6,70,105
2014-03-25,229,÷ÿ∂»Œ€»æ,179,235,68,1.8,90,95
2014-03-26,252,÷ÿ∂»Œ€»æ,202,253,59,2,82,106
2014-03-27,219,÷ÿ∂»Œ€»æ,169,242,49,2.4,87,72
2014-03-28,235,÷ÿ∂»Œ€»æ,185,272,53,3.2,107,32
2014-03-29,171,÷–∂»Œ€»æ,130,158,36,2.7,61,81
2014-03-30,149,«·∂»Œ€»æ,114,166,31,1.8,65,90
2014-03-31,192,÷–∂»Œ€»æ,144,223,48,1.7,76,97
2014-04-01,148,«·∂»Œ€»æ,114,147,39,1.3,58,117
2014-04-02,127,«·∂»Œ€»æ,97,168,35,1.1,54,86
2014-04-03,83,¡º,33,117,13,0.7,31,78
2014-04-04,95,¡º,47,140,32,0.9,41,82
2014-04-05,104,«·∂»Œ€»æ,33,159,16,0.8,35,80
2014-04-06,115,«·∂»Œ€»æ,68,180,40,1.1,45,95
2014-04-07,118,«·∂»Œ€»æ,90,166,41,1.3,49,99
2014-04-08,189,÷–∂»Œ€»æ,142,228,53,1.8,75,138
2014-04-09,168,÷–∂»Œ€»æ,127,218,33,1.6,42,124
2014-04-10,158,÷–∂»Œ€»æ,68,266,30,1.4,47,84
2014-04-11,96,¡º,72,123,57,2.2,87,40
2014-04-12,114,«·∂»Œ€»æ,86,159,43,1.7,91,72
2014-04-13,199,÷–∂»Œ€»æ,149,195,44,1.7,72,120
2014-04-14,171,÷–∂»Œ€»æ,129,175,30,1.4,51,123
2014-04-15,102,«·∂»Œ€»æ,77,153,38,1.1,63,91
2014-04-16,115,«·∂»Œ€»æ,72,181,52,1.7,77,76
2014-04-17,145,«·∂»Œ€»æ,111,166,40,2.3,80,50
2014-04-18,118,«·∂»Œ€»æ,90,116,32,1.5,55,78
2014-04-19,82,¡º,61,111,28,1.4,70,68
2014-04-20,104,«·∂»Œ€»æ,78,127,21,1.5,67,87
2014-04-21,152,÷–∂»Œ€»æ,116,177,30,1.4,57,99
2014-04-22,123,«·∂»Œ€»æ,93,140,37,1.5,45,113
2014-04-23,136,«·∂»Œ€»æ,104,150,28,1.1,32,107
2014-04-24,120,«·∂»Œ€»æ,91,131,45,1.2,48,147
2014-04-25,100,¡º,75,141,46,1.2,56,138
2014-04-26,64,¡º,43,78,11,1.3,32,92
2014-04-27,98,¡º,73,114,31,2.3,50,76
2014-04-28,78,¡º,55,105,25,1.3,55,96
2014-04-29,93,¡º,69,132,36,1.3,60,136
2014-04-30,105,«·∂»Œ€»æ,76,137,36,1.2,53,165
2014-05-01,107,«·∂»Œ€»æ,80,159,45,1.3,41,168
2014-05-02,58,¡º,29,65,5,0.7,21,106
2014-05-03,97,¡º,40,143,21,1,36,98
2014-05-04,72,¡º,29,94,4,0.7,20,76
2014-05-05,60,¡º,32,69,19,1,40,86
2014-05-06,95,¡º,71,140,51,1.4,58,94
2014-05-07,99,¡º,74,114,22,1.6,43,108
2014-05-08,81,¡º,60,88,26,1.5,52,104
2014-05-09,76,¡º,52,101,31,1.4,49,106
2014-05-10,62,¡º,39,74,19,1.1,44,99
2014-05-11,44,”≈,29,21,8,1.1,26,88
2014-05-12,63,¡º,46,71,22,1.3,37,111
2014-05-13,90,¡º,67,129,35,1.2,54,135
2014-05-14,65,¡º,31,80,11,0.7,33,85
2014-05-15,114,«·∂»Œ€»æ,75,179,42,1.4,63,86
2014-05-16,109,«·∂»Œ€»æ,76,167,42,1.8,61,107
2014-05-17,74,¡º,53,97,26,1.5,65,90
2014-05-18,98,¡º,66,128,56,1.3,58,158
2014-05-19,141,«·∂»Œ€»æ,108,183,45,1.7,50,140
2014-05-20,156,÷–∂»Œ€»æ,119,174,24,1.8,41,124
2014-05-21,204,÷ÿ∂»Œ€»æ,154,215,36,2.1,65,141
2014-05-22,149,«·∂»Œ€»æ,114,176,25,1.3,56,124
2014-05-23,130,«·∂»Œ€»æ,99,169,40,1.4,53,156
2014-05-24,96,¡º,72,108,17,1.1,46,119
2014-05-25,146,«·∂»Œ€»æ,112,172,13,1.2,47,82
