date,AQI,质量等级,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-01-01,101,轻度污染,70,151,101,2.8,33,30
2014-01-02,115,轻度污染,87,156,151,3.6,38,17
2014-01-03,76,良,55,103,91,2.4,32,26
2014-01-04,103,轻度污染,77,131,134,2.9,37,25
2014-01-05,87,良,65,118,108,2.8,36,24
2014-01-06,119,轻度污染,90,156,125,3.1,44,9
2014-01-07,142,轻度污染,109,171,121,3,41,14
2014-01-08,55,良,23,60,41,1.9,20,46
2014-01-09,74,良,50,99,96,2.6,35,24
2014-01-10,105,轻度污染,79,132,129,3.1,39,12
2014-01-11,103,轻度污染,78,131,147,3.1,35,30
2014-01-12,58,良,32,67,63,2.3,27,28
2014-01-13,83,良,61,109,117,3,38,24
2014-01-14,109,轻度污染,82,134,129,3.3,41,15
2014-01-15,135,轻度污染,103,160,174,3.8,41,13
2014-01-16,181,中度污染,137,194,186,4,46,22
2014-01-17,103,轻度污染,77,124,123,3.3,33,27
2014-01-18,105,轻度污染,79,136,156,3.5,40,14
2014-01-19,93,良,69,134,104,3,27,38
2014-01-20,53,良,20,57,44,2.4,20,38
2014-01-21,71,良,52,92,104,3.3,37,19
2014-01-22,145,轻度污染,111,161,177,4.2,52,19
2014-01-23,230,重度污染,180,249,246,5,62,15
2014-01-24,169,中度污染,129,177,165,3.7,54,27
2014-01-25,111,轻度污染,84,123,124,3,55,20
2014-01-26,154,中度污染,118,169,139,3.3,56,20
2014-01-27,205,重度污染,155,204,160,3.4,56,17
2014-01-28,68,良,50,87,82,1.7,35,28
2014-01-29,141,轻度污染,108,166,131,2.2,59,36
2014-01-30,98,良,73,118,110,1.9,50,44
2014-01-31,195,中度污染,146,215,111,2.5,46,29
2014-02-01,245,重度污染,195,272,188,3.5,63,28
2014-02-02,206,重度污染,156,227,165,3.3,57,39
2014-02-03,54,良,22,58,31,1.3,19,37
2014-02-04,49,优,20,49,38,1.4,21,28
2014-02-05,69,良,51,74,46,1.7,25,21
2014-02-06,101,轻度污染,76,95,57,1.9,28,19
2014-02-07,203,重度污染,153,189,132,2.7,48,14
2014-02-08,85,良,63,87,63,1.7,26,34
2014-02-09,24,优,14,24,37,1.1,19,34
2014-02-10,64,良,46,69,80,1.7,32,23
2014-02-11,109,轻度污染,82,116,125,2.3,40,28
2014-02-12,67,良,49,80,91,1.9,27,23
2014-02-13,115,轻度污染,87,129,98,1.9,23,32
2014-02-14,199,中度污染,149,210,108,2.1,26,39
2014-02-15,259,重度污染,209,290,141,2.7,32,29
2014-02-16,183,中度污染,138,197,84,2.4,23,43
2014-02-17,121,轻度污染,92,130,46,1.7,18,45
2014-02-18,133,轻度污染,101,142,85,1.7,24,37
2014-02-19,74,良,55,92,50,1.4,16,41
2014-02-20,84,良,62,101,69,1.6,18,31
2014-02-21,220,重度污染,170,219,111,2.1,29,37
2014-02-22,251,重度污染,201,277,164,2.5,33,33
2014-02-23,219,重度污染,169,233,134,2.6,31,28
2014-02-24,181,中度污染,136,207,100,2,30,36
2014-02-25,202,重度污染,152,233,117,2.2,33,57
2014-02-26,183,中度污染,138,220,137,2.5,36,29
2014-02-27,61,良,26,71,51,1.3,20,40
2014-02-28,121,轻度污染,92,149,90,2.1,32,23
2014-03-01,164,中度污染,125,188,148,2.4,36,33
2014-03-02,103,轻度污染,77,147,138,2.3,33,49
2014-03-03,102,轻度污染,72,154,120,2.2,30,42
2014-03-04,57,良,25,65,45,1.5,19,43
2014-03-05,67,良,37,85,56,1.7,26,39
2014-03-06,54,良,22,57,39,1.4,20,45
2014-03-07,110,轻度污染,83,157,89,2.2,33,27
2014-03-08,143,轻度污染,110,170,82,2.3,29,49
2014-03-09,93,良,64,136,83,2.2,30,58
2014-03-10,153,中度污染,117,202,80,2.5,40,65
2014-03-11,121,轻度污染,92,169,79,2.3,33,61
2014-03-12,65,良,33,80,36,1.6,18,42
2014-03-13,63,良,23,75,42,1.7,18,55
2014-03-14,82,良,39,114,63,2,24,53
2014-03-15,104,轻度污染,68,158,87,2.4,28,61
2014-03-16,117,轻度污染,71,185,88,2.4,31,71
2014-03-17,159,中度污染,72,268,49,1.8,27,48
2014-03-18,101,轻度污染,44,152,38,1.7,23,39
2014-03-19,126,轻度污染,56,202,37,1.9,24,49
2014-03-20,63,良,27,76,30,1.6,17,50
2014-03-21,90,良,49,130,61,2.2,27,51
2014-03-22,93,良,55,136,66,2.3,28,52
2014-03-23,91,良,57,132,47,2.2,29,73
2014-03-24,114,轻度污染,87,158,63,2.4,35,68
2014-03-25,100,良,65,150,61,2.4,39,72
2014-03-26,104,轻度污染,60,159,52,2.3,35,70
2014-03-27,122,轻度污染,78,195,54,2.4,29,85
2014-03-28,92,良,42,134,25,1.8,14,63
2014-03-29,86,良,38,123,33,2.1,22,57
2014-03-30,101,轻度污染,47,152,37,2.2,23,83
2014-03-31,82,良,61,98,26,2.3,19,67
2014-04-01,105,轻度污染,79,130,34,2.3,24,57
2014-04-02,110,轻度污染,74,170,36,2.3,26,48
2014-04-03,67,良,35,84,20,1.8,17,54
2014-04-04,92,良,42,135,35,2,26,49
2014-04-05,95,良,30,140,20,1.8,17,56
2014-04-06,105,轻度污染,51,160,33,2.2,29,63
2014-04-07,119,轻度污染,72,188,40,2.4,34,73
2014-04-08,125,轻度污染,71,200,34,2.3,33,77
2014-04-09,139,轻度污染,91,229,42,2.5,37,80
2014-04-10,134,轻度污染,91,218,20,2.4,19,63
2014-04-11,112,轻度污染,77,173,22,2.5,25,32
2014-04-12,156,中度污染,119,209,29,3,34,44
2014-04-13,166,中度污染,126,217,37,2.9,31,70
2014-04-14,108,轻度污染,81,164,30,2.3,27,81
2014-04-15,55,良,30,59,19,1.6,13,61
2014-04-16,63,良,43,75,22,1.7,25,49
2014-04-17,110,轻度污染,83,126,37,2.3,30,43
2014-04-18,94,良,69,137,24,2,23,41
2014-04-19,61,良,43,71,22,1.8,25,47
2014-04-20,80,良,52,110,30,1.8,26,51
2014-04-21,78,良,41,105,29,1.5,25,64
2014-04-22,86,良,55,122,31,1.4,24,81
2014-04-23,89,良,57,129,38,1.4,27,76
2014-04-24,98,良,72,146,30,1.6,23,90
2014-04-25,120,轻度污染,70,191,23,1.3,20,72
2014-04-26,108,轻度污染,45,166,20,1.1,18,55
2014-04-27,81,良,34,112,24,1.2,22,68
2014-04-28,74,良,35,98,28,1.4,24,64
2014-04-29,87,良,53,124,30,1.6,29,82
2014-04-30,89,良,55,127,32,1.7,35,89
2014-05-01,120,轻度污染,62,190,30,1.7,30,65
2014-05-02,66,良,16,82,17,1.2,11,63
2014-05-03,75,良,31,99,29,1.5,21,64
2014-05-04,76,良,28,102,15,1.1,18,60
2014-05-05,76,良,33,102,29,1.1,40,60
2014-05-06,105,轻度污染,57,160,61,1.1,52,78
2014-05-07,83,良,35,115,23,0.5,38,67
2014-05-08,125,轻度污染,87,200,44,1,50,103
2014-05-09,159,中度污染,121,233,35,1.1,43,90
2014-05-10,92,良,69,107,11,1.1,36,69
2014-05-11,57,良,33,64,17,0.8,36,59
2014-05-12,97,良,57,144,50,1.1,59,90
2014-05-13,115,轻度污染,72,180,63,1.2,74,84
2014-05-14,68,良,23,86,21,0.6,36,69
2014-05-15,86,良,41,122,55,1,58,72
2014-05-16,98,良,56,146,75,1.1,62,76
2014-05-17,91,良,49,132,34,1,44,102
2014-05-18,92,良,62,134,51,1,55,120
2014-05-19,103,轻度污染,64,156,46,0.8,52,71
2014-05-20,108,轻度污染,74,166,65,1,57,98
2014-05-21,123,轻度污染,79,195,42,0.9,60,108
2014-05-22,116,轻度污染,79,182,29,0.8,46,114
2014-05-23,70,良,40,91,22,0.8,39,105
2014-05-24,59,良,34,61,21,0.8,30,111
2014-05-25,90,良,35,131,11,0.4,21,83
2014-05-26,76,良,32,103,35,0.8,55,92
2014-05-27,94,良,40,138,52,1,53,88
2014-05-28,76,良,31,102,46,0.9,62,107
2014-05-29,86,良,44,121,72,1.1,68,121
2014-05-30,90,良,48,131,63,1.3,68,120
2014-05-31,88,良,53,127,38,1.1,55,112
2014-06-01,72,良,38,78,23,1,32,126
2014-06-02,63,良,38,75,17,1,35,102
2014-06-03,66,良,21,50,17,1,29,119
2014-06-04,68,良,36,81,32,1.2,45,122
2014-06-05,72,良,46,95,32,1.4,50,115
2014-06-06,59,良,26,69,17,1.1,34,75
2014-06-07,55,良,20,59,26,1,44,101
2014-06-08,70,良,32,91,38,1.1,49,90
2014-06-09,55,良,17,61,18,0.8,32,82
2014-06-10,53,良,17,57,22,0.9,36,82
2014-06-11,66,良,31,82,20,1,37,100
2014-06-12,75,良,51,99,24,1.2,40,126
2014-06-13,88,良,55,125,41,1.5,53,122
2014-06-14,89,良,67,117,36,1.6,52,124
