date,AQI,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-01-01,129,«·∂»Œ€»æ,98,129,29,1.9,99,81
2014-01-02,159,÷–∂»Œ€»æ,121,148,38,1.8,122,77
2014-01-03,180,÷–∂»Œ€»æ,136,172,31,1.9,110,93
2014-01-04,170,÷–∂»Œ€»æ,129,159,40,1.6,75,113
2014-01-05,149,«·∂»Œ€»æ,114,143,39,1.4,89,113
2014-01-06,207,÷ÿ∂»Œ€»æ,157,190,42,1.7,109,117
2014-01-07,133,«·∂»Œ€»æ,101,123,29,1.4,92,54
2014-01-08,123,«·∂»Œ€»æ,93,118,16,1.9,69,25
2014-01-09,66,¡º,48,65,12,1.5,41,63
2014-01-10,90,¡º,67,87,17,1.4,55,49
2014-01-11,132,«·∂»Œ€»æ,100,130,24,1.6,80,69
2014-01-12,121,«·∂»Œ€»æ,92,123,17,1.8,63,46
2014-01-13,59,¡º,37,68,10,1.2,31,46
2014-01-14,61,¡º,41,71,11,1,39,82
2014-01-15,89,¡º,66,86,15,1,49,92
2014-01-16,131,«·∂»Œ€»æ,100,135,20,1.4,95,84
2014-01-17,142,«·∂»Œ€»æ,109,150,22,1.5,99,90
2014-01-18,92,¡º,69,97,19,0.9,50,114
2014-01-19,135,«·∂»Œ€»æ,103,136,26,1.1,82,133
2014-01-20,137,«·∂»Œ€»æ,105,142,22,1.4,92,118
2014-01-21,109,«·∂»Œ€»æ,82,116,27,1,40,101
2014-01-22,69,¡º,50,76,13,0.9,52,97
2014-01-23,120,«·∂»Œ€»æ,91,125,29,1.4,101,103
2014-01-24,89,¡º,66,94,20,1,82,82
2014-01-25,95,¡º,71,86,13,1.5,88,48
2014-01-26,103,«·∂»Œ€»æ,77,89,14,1.4,65,90
2014-01-27,123,«·∂»Œ€»æ,93,111,16,1.2,56,123
2014-01-28,111,«·∂»Œ€»æ,83,97,17,1.1,67,114
2014-01-29,133,«·∂»Œ€»æ,101,116,15,1.3,75,145
2014-01-30,111,«·∂»Œ€»æ,84,93,17,1.2,66,142
2014-01-31,155,÷–∂»Œ€»æ,118,139,24,1.1,51,130
2014-02-01,70,¡º,51,57,12,0.8,30,97
2014-02-02,65,¡º,47,53,11,0.9,38,102
2014-02-03,68,¡º,50,63,8,1.1,42,103
2014-02-04,71,¡º,52,64,8,1,33,101
2014-02-05,50,”≈,35,44,10,1,25,91
2014-02-06,41,”≈,28,33,11,1,29,70
2014-02-07,32,”≈,23,30,4,1.2,24,24
2014-02-08,32,”≈,22,29,4,1.1,21,12
2014-02-09,12,”≈,9,12,3,1,21,15
2014-02-10,41,”≈,29,35,7,1,17,58
2014-02-11,59,¡º,43,50,11,0.7,21,67
2014-02-12,71,¡º,51,61,7,0.7,28,56
2014-02-13,46,”≈,32,37,6,0.7,28,36
2014-02-14,65,¡º,47,55,10,0.7,27,69
2014-02-15,70,¡º,51,63,9,0.7,38,50
2014-02-16,89,¡º,66,85,15,1.2,57,20
2014-02-17,145,«·∂»Œ€»æ,111,166,24,1.9,84,20
2014-02-18,59,¡º,43,63,11,1.4,43,14
2014-02-19,22,”≈,15,22,8,1,33,30
2014-02-20,38,”≈,26,38,10,0.6,36,61
2014-02-21,85,¡º,63,98,25,0.8,83,66
2014-02-22,94,¡º,70,86,19,0.9,69,44
2014-02-23,87,¡º,65,82,15,0.9,65,123
2014-02-24,76,¡º,56,81,21,0.8,79,82
2014-02-25,66,¡º,48,77,20,0.9,75,52
2014-02-26,84,¡º,62,86,16,1.3,66,55
2014-02-27,62,¡º,45,64,15,1,56,106
2014-02-28,62,¡º,45,65,20,0.9,67,41
2014-03-01,63,¡º,45,65,22,0.9,62,50
2014-03-02,41,”≈,28,41,30,1.4,42,30
2014-03-03,64,¡º,47,62,13,1.4,48,28
2014-03-04,72,¡º,52,73,14,1.3,54,28
2014-03-05,41,”≈,24,41,13,1.1,44,44
2014-03-06,85,¡º,63,87,22,1.2,65,40
2014-03-07,39,”≈,27,39,7,1,39,22
2014-03-08,55,¡º,39,55,15,1,43,21
2014-03-09,28,”≈,20,28,6,0.8,36,33
2014-03-10,49,”≈,35,45,9,0.9,42,30
2014-03-11,62,¡º,45,64,13,1.1,52,28
2014-03-12,172,÷–∂»Œ€»æ,130,183,18,2.6,93,27
2014-03-13,61,¡º,44,68,10,1.2,47,70
2014-03-14,75,¡º,55,77,11,0.9,44,81
2014-03-15,87,¡º,65,88,20,0.9,59,52
