date,AQI,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-01-01,111,«·∂»Œ€»æ,84,138,32,1.1,71,64
2014-01-02,146,«·∂»Œ€»æ,112,185,40,1.5,95,37
2014-01-03,166,÷–∂»Œ€»æ,126,198,52,1.5,91,62
2014-01-04,212,÷ÿ∂»Œ€»æ,162,249,78,1.7,80,40
2014-01-05,255,÷ÿ∂»Œ€»æ,205,277,50,2,89,47
2014-01-06,198,÷–∂»Œ€»æ,148,194,47,1.5,81,46
2014-01-07,147,«·∂»Œ€»æ,112,139,33,1.7,80,30
2014-01-08,53,¡º,38,33,18,1.1,47,38
2014-01-09,63,¡º,45,70,30,0.7,40,41
2014-01-10,97,¡º,73,115,43,0.8,56,47
2014-01-11,84,¡º,63,74,25,0.8,54,36
2014-01-12,76,¡º,56,47,22,0.9,51,29
2014-01-13,130,«·∂»Œ€»æ,99,118,42,1.1,59,31
2014-01-14,89,¡º,66,91,41,0.9,63,54
2014-01-15,104,«·∂»Œ€»æ,78,107,33,1,63,49
2014-01-16,113,«·∂»Œ€»æ,86,125,34,1.1,69,52
2014-01-17,162,÷–∂»Œ€»æ,123,170,35,1.3,83,52
2014-01-18,265,÷ÿ∂»Œ€»æ,215,247,49,1.4,57,60
2014-01-19,255,÷ÿ∂»Œ€»æ,205,248,36,1.6,70,64
2014-01-20,136,«·∂»Œ€»æ,104,193,31,1.1,59,52
2014-01-21,97,¡º,48,144,37,0.8,49,39
2014-01-22,85,¡º,63,98,36,0.9,59,47
2014-01-23,106,«·∂»Œ€»æ,80,117,30,0.9,68,50
2014-01-24,70,¡º,51,78,16,0.8,57,64
2014-01-25,186,÷–∂»Œ€»æ,140,176,32,1.3,60,68
2014-01-26,83,¡º,61,71,21,0.7,28,61
2014-01-27,53,¡º,32,56,14,0.6,37,54
2014-01-28,118,«·∂»Œ€»æ,90,110,25,1.3,56,37
2014-01-29,109,«·∂»Œ€»æ,82,91,16,0.9,41,43
2014-01-30,214,÷ÿ∂»Œ€»æ,164,205,16,1.5,45,80
2014-01-31,243,÷ÿ∂»Œ€»æ,193,228,13,1.3,33,59
2014-02-01,96,¡º,71,79,12,0.8,30,86
2014-02-02,252,÷ÿ∂»Œ€»æ,202,241,11,1.8,43,55
2014-02-03,80,¡º,59,83,9,1.1,21,44
2014-02-04,42,”≈,21,42,12,0.4,12,65
2014-02-05,37,”≈,25,37,14,0.5,19,65
2014-02-06,36,”≈,25,31,10,0.7,29,37
2014-02-07,20,”≈,14,11,11,0.8,24,36
2014-02-08,73,¡º,54,56,19,1,23,53
2014-02-09,80,¡º,59,62,21,1.1,26,49
2014-02-10,44,”≈,31,38,18,0.7,21,54
2014-02-11,67,¡º,49,55,18,0.7,22,61
2014-02-12,85,¡º,63,71,24,1,49,46
2014-02-13,62,¡º,44,46,17,1,41,47
2014-02-14,84,¡º,62,79,22,0.9,35,80
2014-02-15,116,«·∂»Œ€»æ,88,101,25,0.9,46,80
2014-02-16,64,¡º,47,50,29,0.7,55,64
2014-02-17,29,”≈,20,23,11,0.9,46,14
2014-02-18,25,”≈,15,16,9,0.7,42,50
2014-02-19,68,¡º,49,52,12,0.8,32,49
2014-02-20,66,¡º,47,57,13,0.8,38,52
2014-02-21,157,÷–∂»Œ€»æ,120,144,43,1,54,80
2014-02-22,142,«·∂»Œ€»æ,108,126,29,0.9,62,78
2014-02-23,92,¡º,68,83,25,0.7,47,81
2014-02-24,130,«·∂»Œ€»æ,99,108,29,0.9,60,75
2014-02-25,44,”≈,31,35,13,0.8,58,25
2014-02-26,57,¡º,40,53,18,0.9,51,31
2014-02-27,124,«·∂»Œ€»æ,94,120,38,1.3,70,30
2014-02-28,101,«·∂»Œ€»æ,76,81,20,0.8,45,54
2014-03-01,48,”≈,33,39,17,0.8,51,31
2014-03-02,104,«·∂»Œ€»æ,78,115,40,1.1,55,71
2014-03-03,60,¡º,40,70,25,0.7,35,80
2014-03-04,71,¡º,52,68,23,0.7,51,56
2014-03-05,93,¡º,70,96,30,0.8,43,75
2014-03-06,46,”≈,30,46,20,0.5,37,67
2014-03-07,53,¡º,33,56,23,0.7,47,69
2014-03-08,49,”≈,34,39,23,0.6,38,56
2014-03-09,70,¡º,51,72,19,0.8,47,60
2014-03-10,120,«·∂»Œ€»æ,91,133,27,1,54,102
2014-03-11,115,«·∂»Œ€»æ,87,124,30,0.9,54,102
2014-03-12,53,¡º,37,52,15,0.9,49,63
2014-03-13,69,¡º,50,81,16,0.6,34,62
2014-03-14,69,¡º,45,87,18,0.7,50,84
2014-03-15,85,¡º,62,120,28,0.8,66,105
2014-03-16,93,¡º,69,129,29,0.8,66,109
2014-03-17,76,¡º,55,101,20,0.9,55,93
2014-03-18,107,«·∂»Œ€»æ,81,130,21,1,49,130
2014-03-19,139,«·∂»Œ€»æ,106,152,16,0.9,47,121
2014-03-20,74,¡º,54,93,20,0.8,45,62
2014-03-21,74,¡º,49,97,24,0.7,56,91
2014-03-22,75,¡º,53,101,29,0.7,61,103
2014-03-23,88,¡º,64,126,33,0.8,67,98
2014-03-24,71,¡º,46,93,23,0.8,51,84
2014-03-25,70,¡º,51,88,16,0.9,62,60
2014-03-26,100,¡º,75,116,20,1,48,127
2014-03-27,118,«·∂»Œ€»æ,89,130,25,1,55,137
2014-03-28,58,¡º,40,66,14,0.9,52,68
2014-03-29,47,”≈,30,47,9,0.9,46,40
2014-03-30,125,«·∂»Œ€»æ,95,149,21,1,37,133
2014-03-31,124,«·∂»Œ€»æ,94,121,26,0.9,40,115
2014-04-01,96,¡º,72,104,23,0.7,50,75
2014-04-02,93,¡º,69,106,20,0.7,50,90
2014-04-03,78,¡º,57,84,19,0.6,52,66
2014-04-04,73,¡º,43,96,21,0.6,52,108
2014-04-05,96,¡º,65,143,24,0.8,62,118
2014-04-06,56,¡º,24,61,17,0.4,36,91
2014-04-07,80,¡º,59,88,23,0.7,51,76
2014-04-08,128,«·∂»Œ€»æ,97,138,17,1.1,61,74
2014-04-09,123,«·∂»Œ€»æ,94,139,24,0.9,59,138
2014-04-10,114,«·∂»Œ€»æ,86,136,28,0.9,67,163
2014-04-11,115,«·∂»Œ€»æ,87,140,27,0.8,71,103
2014-04-12,99,¡º,74,107,10,1,56,53
2014-04-13,61,¡º,44,48,8,0.7,30,70
2014-04-14,80,¡º,55,81,17,0.6,33,136
2014-04-15,88,¡º,65,114,45,0.7,60,134
2014-04-16,82,¡º,60,98,23,0.7,61,82
2014-04-17,140,«·∂»Œ€»æ,107,158,33,1.2,71,53
2014-04-18,105,«·∂»Œ€»æ,79,107,32,1.2,55,55
2014-04-19,58,¡º,41,54,8,0.6,38,66
2014-04-20,66,¡º,48,69,13,0.6,41,63
2014-04-21,56,¡º,40,51,21,0.6,42,65
2014-04-22,60,¡º,43,58,10,0.7,41,94
2014-04-23,75,¡º,55,95,21,0.8,56,113
2014-04-24,78,¡º,57,104,38,0.8,61,92
2014-04-25,54,¡º,36,58,26,0.7,50,43
2014-04-26,68,¡º,50,86,32,0.9,62,30
2014-04-27,37,”≈,26,31,8,0.9,29,60
2014-04-28,59,¡º,41,68,12,0.6,29,90
2014-04-29,75,¡º,50,100,17,0.8,45,128
2014-04-30,106,«·∂»Œ€»æ,80,149,31,0.8,65,160
2014-05-01,97,¡º,72,140,25,0.9,58,149
2014-05-02,108,«·∂»Œ€»æ,58,166,18,0.8,44,147
2014-05-03,95,¡º,55,139,21,0.7,28,132
2014-05-04,74,¡º,54,99,12,0.8,58,92
2014-05-05,78,¡º,40,80,22,0.7,37,134
2014-05-06,69,¡º,41,84,41,0.6,51,123
2014-05-07,90,¡º,42,93,17,0.7,47,148
2014-05-08,124,«·∂»Œ€»æ,74,142,23,0.9,48,186
2014-05-09,107,«·∂»Œ€»æ,81,136,40,0.8,51,159
2014-05-10,61,¡º,43,71,32,0.7,46,72
2014-05-11,46,”≈,28,46,17,0.9,41,45
2014-05-12,91,¡º,52,90,21,1,44,149
2014-05-13,88,¡º,65,119,30,1,70,98
2014-05-14,61,¡º,44,71,8,1.1,52,81
2014-05-15,111,«·∂»Œ€»æ,72,142,18,1,40,172
2014-05-16,126,«·∂»Œ€»æ,96,188,30,1.1,68,184
2014-05-17,102,«·∂»Œ€»æ,77,87,8,0.9,47,100
2014-05-18,51,¡º,36,46,7,0.6,35,64
2014-05-19,98,¡º,74,118,15,0.7,53,61
2014-05-20,93,¡º,67,111,14,0.8,43,152
2014-05-21,151,÷–∂»Œ€»æ,111,192,29,1.1,65,216
2014-05-22,79,¡º,50,80,12,0.7,36,135
2014-05-23,58,¡º,20,46,19,0.5,32,109
2014-05-24,57,¡º,22,55,18,0.6,32,108
2014-05-25,66,¡º,48,79,10,0.9,40,60
2014-05-26,99,¡º,60,146,12,0.9,47,159
2014-05-27,118,«·∂»Œ€»æ,77,185,14,0.9,45,151
2014-05-28,140,«·∂»Œ€»æ,90,228,18,0.8,47,204
2014-05-29,134,«·∂»Œ€»æ,100,218,19,1,60,167
2014-05-30,85,¡º,53,120,14,0.7,39,133
2014-05-31,50,”≈,26,50,17,0.7,33,88
2014-06-01,52,¡º,27,53,6,0.9,43,63
2014-06-02,70,¡º,37,52,4,0.7,20,124
2014-06-03,73,¡º,41,61,7,0.7,22,127
2014-06-04,91,¡º,61,101,13,0.8,34,149
2014-06-05,133,«·∂»Œ€»æ,87,137,20,1,46,196
2014-06-06,155,÷–∂»Œ€»æ,78,130,22,0.9,43,220
2014-06-07,173,÷–∂»Œ€»æ,89,149,18,1,44,238
2014-06-08,95,¡º,71,120,14,0.9,36,154
2014-06-09,85,¡º,46,80,15,0.7,25,142
2014-06-10,52,¡º,33,54,11,0.6,24,99
2014-06-11,97,¡º,54,88,18,0.6,33,156
2014-06-12,126,«·∂»Œ€»æ,85,145,27,0.9,52,189
2014-06-13,154,÷–∂»Œ€»æ,72,121,18,0.8,42,219
2014-06-14,181,÷–∂»Œ€»æ,97,165,23,0.9,50,246
2014-06-15,116,«·∂»Œ€»æ,85,143,27,0.9,47,178
