date,AQI,质量等级,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-01-01,203,重度污染,153,210,70,2,106,55
2014-01-02,231,重度污染,181,254,89,2.4,112,26
2014-01-03,224,重度污染,174,226,63,1.7,84,55
2014-01-04,147,轻度污染,112,184,73,1.6,87,40
2014-01-05,195,中度污染,147,213,89,2.2,91,53
2014-01-06,235,重度污染,185,231,81,2.1,87,39
2014-01-07,318,严重污染,268,140,29,2.3,64,22
2014-01-08,252,重度污染,202,71,62,2.1,61,38
2014-01-09,258,重度污染,208,169,78,2.5,76,36
2014-01-10,169,中度污染,128,123,64,1.7,66,27
2014-01-11,120,轻度污染,91,71,33,1.3,52,53
2014-01-12,218,重度污染,168,191,69,1.7,72,41
2014-01-13,316,严重污染,266,289,76,2.4,87,33
2014-01-14,277,重度污染,227,262,70,2.5,84,47
2014-01-15,215,重度污染,165,201,64,1.9,64,54
2014-01-16,159,中度污染,122,160,82,1.8,91,40
2014-01-17,287,重度污染,237,274,59,2,102,68
2014-01-18,284,重度污染,234,270,97,2.3,94,55
2014-01-19,271,重度污染,221,265,90,2.2,102,46
2014-01-20,198,中度污染,148,205,58,1.6,84,68
2014-01-21,93,良,67,135,72,1.4,70,29
2014-01-22,120,轻度污染,91,129,68,1.4,67,65
2014-01-23,132,轻度污染,100,141,75,1.5,73,70
2014-01-24,166,中度污染,126,179,70,1.9,102,81
2014-01-25,298,重度污染,248,279,107,2.5,97,66
2014-01-26,337,严重污染,287,297,86,2.6,85,80
2014-01-27,264,重度污染,214,214,56,2.2,75,60
2014-01-28,334,严重污染,284,299,51,2.3,76,36
2014-01-29,336,严重污染,286,38,30,2.1,47,49
2014-01-30,201,重度污染,151,111,43,2.6,54,65
2014-01-31,227,重度污染,177,205,56,2,53,71
2014-02-01,271,重度污染,221,237,16,2.1,41,55
2014-02-02,279,重度污染,229,253,36,2.6,60,43
2014-02-03,202,重度污染,152,113,31,2.5,36,39
2014-02-04,57,良,41,39,11,1.1,27,48
2014-02-05,45,优,31,12,20,0.8,24,62
2014-02-06,44,优,31,8,25,0.9,24,42
2014-02-07,110,轻度污染,83,74,12,0.9,27,43
2014-02-09,144,轻度污染,111,70,40,1.2,27,89
2014-02-10,106,轻度污染,80,27,47,1,27,79
2014-02-11,113,轻度污染,86,53,43,1.1,38,80
2014-02-12,99,良,74,75,32,0.9,39,71
2014-02-13,135,轻度污染,103,11,26,1,35,82
2014-02-14,120,轻度污染,91,86,35,1.1,54,65
2014-02-15,129,轻度污染,98,97,54,1.3,54,64
2014-02-16,137,轻度污染,105,92,31,1.2,59,34
2014-02-17,125,轻度污染,95,28,22,1.2,37,45
2014-02-18,37,优,26,19,20,0.7,28,65
2014-02-19,72,良,52,67,31,0.8,54,71
2014-02-20,115,轻度污染,87,115,70,1.5,58,53
2014-02-21,109,轻度污染,82,140,48,1.2,82,68
2014-02-22,113,轻度污染,85,147,61,1.5,81,50
2014-02-23,211,重度污染,161,192,45,1.6,77,35
2014-02-24,173,中度污染,131,61,35,1.5,64,29
2014-02-25,103,轻度污染,77,50,25,1.3,41,41
2014-02-26,102,轻度污染,76,60,28,1.3,51,25
2014-02-27,103,轻度污染,77,85,29,1.5,54,25
2014-02-28,48,优,34,10,22,1.4,34,35
2014-03-01,79,良,58,60,11,0.9,36,30
2014-03-02,143,轻度污染,109,109,33,1.2,44,50
2014-03-03,137,轻度污染,105,115,40,1.4,54,48
2014-03-04,135,轻度污染,103,95,41,1.3,61,68
2014-03-05,108,轻度污染,81,109,41,1.1,59,109
2014-03-06,115,轻度污染,87,89,33,1.1,49,78
2014-03-07,64,良,46,55,46,1,45,66
2014-03-08,97,良,72,85,39,1.1,52,83
2014-03-09,131,轻度污染,100,130,42,1.3,72,80
2014-03-10,102,轻度污染,76,109,57,1.2,60,111
2014-03-11,101,轻度污染,76,111,56,1.2,66,64
2014-03-12,126,轻度污染,96,166,36,1.2,42,39
2014-03-13,79,良,58,100,32,0.8,44,70
2014-03-14,106,轻度污染,80,123,38,1,65,107
2014-03-15,95,良,71,128,39,1.1,72,119
2014-03-16,118,轻度污染,89,154,39,1.2,79,81
2014-03-17,121,轻度污染,92,165,48,1.4,76,93
2014-03-18,141,轻度污染,108,192,65,1.5,81,46
2014-03-19,140,轻度污染,107,197,27,1.2,35,63
2014-03-20,97,良,73,100,32,0.9,40,82
2014-03-21,99,良,74,115,45,1.2,64,100
2014-03-22,115,轻度污染,87,144,49,1.4,84,106
2014-03-23,151,中度污染,116,183,46,1.5,97,45
2014-03-24,139,轻度污染,106,123,37,1.3,67,30
2014-03-25,97,良,73,79,27,1.6,58,56
2014-03-26,112,轻度污染,85,117,49,1.9,71,81
2014-03-27,94,良,70,122,57,1.4,65,123
2014-03-28,69,良,50,84,41,1.1,57,103
2014-03-29,99,良,71,147,30,1.1,51,149
2014-03-30,118,轻度污染,89,171,43,1.2,58,139
2014-03-31,86,良,64,100,29,1,48,96
2014-04-01,92,良,69,124,38,1.3,78,105
2014-04-02,116,轻度污染,88,157,45,1.4,87,137
2014-04-03,117,轻度污染,89,155,30,1.1,60,163
2014-04-04,166,中度污染,126,185,41,1.4,55,160
2014-04-05,184,中度污染,139,201,28,1.3,80,144
2014-04-06,95,良,71,111,39,1.2,48,118
2014-04-07,115,轻度污染,87,68,33,1.2,49,81
2014-04-08,129,轻度污染,99,135,38,1.5,81,104
2014-04-09,126,轻度污染,96,151,35,1.5,82,143
2014-04-10,85,良,62,121,50,1.1,64,115
2014-04-11,73,良,53,84,18,1.1,43,107
2014-04-12,70,良,51,44,6,1.2,27,82
2014-04-13,76,良,56,71,18,1.1,36,73
2014-04-14,79,良,58,85,32,1.1,46,104
2014-04-15,76,良,56,71,31,1.1,46,88
2014-04-16,50,优,35,40,26,1,35,56
2014-04-17,55,良,39,53,20,1,45,79
2014-04-18,62,良,45,66,32,1,44,55
2014-04-19,44,优,19,23,17,0.7,22,87
2014-04-20,81,良,60,82,25,1,46,101
2014-04-21,37,优,26,31,18,0.8,35,71
2014-04-22,69,良,50,68,22,0.9,38,102
2014-04-23,68,良,50,67,36,1.1,54,70
2014-04-24,77,良,56,81,34,1.3,61,41
2014-04-25,84,良,62,76,23,1.2,52,37
2014-04-26,56,良,36,62,20,0.8,28,88
2014-04-27,84,良,47,118,22,0.8,37,131
2014-04-28,81,良,49,112,23,0.9,63,137
2014-04-29,80,良,53,110,35,1,76,114
2014-04-30,90,良,63,129,32,0.8,58,130
2014-05-01,107,轻度污染,67,164,24,1.1,71,144
2014-05-02,130,轻度污染,66,210,25,0.8,52,81
2014-05-03,117,轻度污染,55,185,36,0.8,50,101
2014-05-04,78,良,54,105,22,0.7,40,72
2014-05-05,95,良,53,139,28,0.9,60,123
2014-05-06,98,良,55,132,40,1,70,158
2014-05-07,101,轻度污染,70,153,29,0.9,75,137
2014-05-08,107,轻度污染,80,155,36,1.1,60,147
2014-05-09,65,良,47,74,31,0.9,37,110
2014-05-10,43,优,30,33,20,1,36,75
2014-05-11,66,良,25,49,19,1,33,119
2014-05-12,101,轻度污染,52,104,33,1.1,73,161
2014-05-13,90,良,67,112,42,1.3,69,81
2014-05-14,77,良,56,64,17,1,33,88
2014-05-15,77,良,37,103,28,0.8,48,132
2014-05-16,120,轻度污染,91,184,44,1.4,98,96
2014-05-17,98,良,73,104,24,0.9,47,93
2014-05-18,131,轻度污染,100,138,29,1.3,72,70
2014-05-19,151,中度污染,116,159,29,1.4,81,67
2014-05-20,212,重度污染,162,215,24,1.2,64,134
2014-05-21,229,重度污染,179,224,31,1.7,92,69
2014-05-22,98,良,73,93,27,1.1,41,122
2014-05-23,68,良,42,71,30,0.9,41,122
2014-05-24,56,良,40,62,23,1,43,76
2014-05-25,91,良,67,133,21,1,40,95
2014-05-26,281,重度污染,137,406,23,0.7,39,122
2014-05-27,136,轻度污染,104,200,23,0.8,35,117
2014-05-28,121,轻度污染,86,191,28,0.9,71,144
2014-05-29,148,轻度污染,104,245,30,1.2,72,164
2014-05-30,108,轻度污染,81,156,32,1.1,55,110
2014-05-31,72,良,52,82,26,1.1,38,53
2014-06-01,47,优,30,47,18,0.9,28,93
2014-06-02,103,轻度污染,47,78,21,0.8,26,163
2014-06-03,80,良,48,76,22,0.7,23,136
2014-06-04,126,轻度污染,64,111,33,1,47,189
2014-06-05,146,轻度污染,81,147,38,1.1,60,211
2014-06-06,167,中度污染,113,205,28,1.2,63,232
2014-06-07,158,中度污染,106,166,23,1.1,42,223
2014-06-08,174,中度污染,132,217,34,1.6,75,187
2014-06-09,201,重度污染,151,230,28,1.5,70,220
2014-06-10,148,轻度污染,114,185,27,1.1,51,194
2014-06-11,149,轻度污染,111,183,28,1.2,57,214
2014-06-12,274,重度污染,224,297,24,1.5,52,177
2014-06-13,205,重度污染,155,226,30,1.4,61,174
2014-06-14,134,轻度污染,103,154,26,1.1,44,192
2014-06-15,119,轻度污染,90,122,18,1,31,129
2014-06-16,87,良,64,85,17,1,35,95
2014-06-17,95,良,71,90,19,0.9,40,130
2014-06-18,139,轻度污染,79,122,31,1.2,46,203
2014-06-19,105,轻度污染,72,113,34,1.2,37,166
2014-06-20,132,轻度污染,101,145,21,1.2,30,139
2014-06-21,109,轻度污染,82,104,18,1,24,140
2014-06-22,125,轻度污染,76,112,23,1.1,35,188
2014-06-23,86,良,63,101,22,1,47,140
2014-06-24,74,良,47,75,18,0.7,36,129
2014-06-25,54,良,35,59,30,0.9,39,105
2014-06-26,32,优,23,31,17,0.9,35,59
2014-06-27,50,优,31,50,13,0.9,37,88
2014-06-28,68,良,50,84,20,1.2,45,108
2014-06-29,80,良,59,99,20,1,61,98
2014-06-30,99,良,74,100,19,1.2,49,89
2014-07-01,86,良,64,87,21,1.1,45,60
2014-07-02,65,良,47,62,16,0.9,38,96
2014-07-03,87,良,40,73,26,1.2,42,144
2014-07-04,46,优,26,41,15,0.7,38,92
2014-07-05,37,优,19,27,12,0.8,23,74
2014-07-06,78,良,28,50,13,0.8,32,134
2014-07-07,87,良,49,89,20,1.1,46,144
2014-07-08,120,轻度污染,55,106,22,1.1,57,182
2014-07-09,119,轻度污染,74,122,20,1.1,52,181
2014-07-10,144,轻度污染,81,133,20,1.1,52,208
2014-07-11,108,轻度污染,81,136,20,1.2,40,157
2014-07-12,43,优,24,43,17,0.7,33,77
2014-07-13,53,良,22,35,17,0.6,30,104
2014-07-14,59,良,25,48,20,0.6,32,111
2014-07-15,52,良,27,53,6,0.5,30,76
2014-07-16,30,优,16,30,17,0.6,27,51
2014-07-17,40,优,23,40,19,1,38,37
2014-07-18,61,良,35,73,21,1.1,42,81
2014-07-19,83,良,38,79,19,1,42,140
2014-07-20,64,良,32,69,22,0.8,36,117
2014-07-21,72,良,35,83,21,0.7,42,126
2014-07-22,91,良,52,116,17,0.9,48,149
2014-07-23,87,良,61,124,16,1,42,118
2014-07-24,92,良,55,91,18,0.9,21,150
2014-07-25,98,良,60,112,21,0.9,36,157
2014-07-26,105,轻度污染,52,101,17,0.8,38,165
2014-07-27,182,中度污染,69,134,22,1.1,54,247
2014-07-28,112,轻度污染,73,141,20,1,60,173
2014-07-29,69,良,43,87,21,0.7,35,120
2014-07-30,67,良,34,75,18,0.6,32,120
2014-07-31,88,良,31,74,20,0.8,40,145
2014-08-01,68,良,35,63,15,0.7,24,121
2014-08-02,47,优,21,47,15,0.6,26,82
2014-08-03,73,良,31,74,18,0.7,40,127
