date,AQI,质量等级,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-01-01,99,良,36,82,148,0.9,41,45
2014-01-02,102,轻度污染,56,117,158,1.2,54,29
2014-01-03,86,良,42,70,121,0.6,45,43
2014-01-04,166,中度污染,126,174,291,1.4,79,28
2014-01-05,128,轻度污染,97,132,227,1.2,65,30
2014-01-06,165,中度污染,125,165,241,1.6,62,30
2014-01-07,86,良,57,94,121,0.8,42,42
2014-01-08,83,良,30,62,116,0.5,36,54
2014-01-09,110,轻度污染,83,130,167,1.4,62,37
2014-01-10,125,轻度污染,95,144,231,1.7,74,30
2014-01-11,140,轻度污染,107,168,228,1.8,73,28
2014-01-12,87,良,40,73,124,0.5,36,47
2014-01-13,145,轻度污染,111,164,292,1.4,73,26
2014-01-14,203,重度污染,153,216,342,2,84,24
2014-01-15,152,中度污染,116,167,204,2,78,30
2014-01-16,233,重度污染,183,256,274,2.2,78,19
2014-01-17,188,中度污染,141,206,372,1.4,84,17
2014-01-18,109,轻度污染,82,113,158,1,54,42
2014-01-19,142,轻度污染,108,151,216,1.4,67,20
2014-01-20,128,轻度污染,97,118,148,1.1,53,35
2014-01-21,169,中度污染,128,177,284,1.5,81,25
2014-01-22,147,轻度污染,112,161,305,2.1,83,26
2014-01-23,103,轻度污染,77,105,116,1,45,58
2014-01-24,162,中度污染,123,142,152,1.3,60,47
2014-01-25,107,轻度污染,80,139,178,1,46,57
2014-01-26,106,轻度污染,59,121,188,1.4,55,36
2014-01-27,84,良,43,113,117,0.8,37,45
2014-01-28,87,良,31,54,124,0.7,38,51
2014-01-29,81,良,45,112,107,0.9,34,55
2014-01-30,83,良,43,80,115,0.8,31,62
2014-01-31,219,重度污染,169,218,228,1.4,50,46
2014-02-01,160,中度污染,122,166,231,1.8,61,34
2014-02-02,118,轻度污染,46,186,95,1.1,27,60
2014-02-03,64,良,20,53,77,0.7,20,64
2014-02-04,85,良,42,77,120,1,33,60
2014-02-05,121,轻度污染,86,128,282,1.4,61,35
2014-02-06,109,轻度污染,69,101,203,1.3,48,51
2014-02-07,103,轻度污染,68,97,165,1.1,46,37
2014-02-08,97,良,61,94,144,1,40,56
2014-02-09,86,良,49,72,122,1,35,61
2014-02-10,107,轻度污染,68,104,192,1.3,57,51
2014-02-11,129,轻度污染,98,141,287,1.3,75,37
2014-02-12,135,轻度污染,103,140,201,1.2,58,65
2014-02-13,165,中度污染,125,175,270,1.5,77,46
2014-02-14,137,轻度污染,104,199,201,1.7,68,71
2014-02-15,239,重度污染,189,216,197,1.8,76,36
2014-02-16,107,轻度污染,80,105,141,0.9,51,75
2014-02-17,117,轻度污染,88,112,155,1,57,71
2014-02-18,91,良,60,84,132,0.9,52,65
2014-02-19,101,轻度污染,50,75,152,0.8,52,62
2014-02-20,117,轻度污染,88,119,181,1.4,75,63
2014-02-21,223,重度污染,173,229,261,2.3,95,58
2014-02-22,152,中度污染,116,161,214,1.5,79,66
2014-02-23,214,重度污染,164,216,250,1.9,104,44
2014-02-24,308,严重污染,258,322,193,2.5,91,52
2014-02-25,286,重度污染,236,294,186,2.2,79,77
2014-02-26,175,中度污染,132,206,113,1.4,51,101
2014-02-27,0,无,37,91,67,0,32,67
2014-02-28,99,良,58,123,148,0.8,57,52
2014-03-01,91,良,58,88,132,0.8,49,63
2014-03-02,86,良,62,94,122,0.8,51,66
2014-03-03,138,轻度污染,105,146,165,1.4,71,61
2014-03-04,67,良,48,67,77,0.6,36,68
2014-03-05,68,良,36,66,86,0.6,43,66
2014-03-06,58,良,26,50,66,0.5,31,64
2014-03-07,88,良,52,94,126,1,53,65
2014-03-08,85,良,60,107,120,1.1,56,64
2014-03-09,69,良,43,73,87,0.7,44,64
2014-03-10,104,轻度污染,78,143,151,1.5,64,54
2014-03-11,120,轻度污染,91,149,92,1,51,49
2014-03-12,66,良,30,74,81,0.5,33,68
2014-03-13,144,轻度污染,110,153,122,1.1,67,88
2014-03-14,196,中度污染,147,197,160,1.5,76,86
2014-03-15,82,良,46,113,74,0.9,43,74
2014-03-16,93,良,65,136,126,1.1,65,87
2014-03-17,146,轻度污染,100,242,89,1.2,52,67
2014-03-18,67,良,47,84,69,0.8,41,81
2014-03-19,79,良,51,107,92,0.9,53,77
2014-03-20,66,良,33,81,66,0.6,39,64
2014-03-21,115,轻度污染,87,154,134,1.4,74,65
2014-03-22,107,轻度污染,80,127,111,1.1,67,86
2014-03-23,182,中度污染,137,190,147,1.4,87,93
2014-03-24,143,轻度污染,109,209,85,1.2,50,105
2014-03-25,185,中度污染,139,177,92,1.4,58,124
2014-03-26,234,重度污染,184,244,110,1.9,75,123
2014-03-27,228,重度污染,178,253,88,1.6,71,106
2014-03-28,123,轻度污染,93,162,59,1.1,50,100
2014-03-29,120,轻度污染,91,106,52,1,52,69
2014-03-30,104,轻度污染,78,129,70,1.1,75,91
2014-03-31,85,良,49,116,67,0.8,68,65
2014-04-01,153,中度污染,117,163,66,1.5,59,122
2014-04-02,82,良,57,114,31,0.8,35,78
2014-04-03,64,良,28,78,22,0.5,39,78
2014-04-04,84,良,44,117,46,0.8,44,69
2014-04-05,56,良,31,62,20,0.6,34,69
2014-04-06,91,良,47,131,50,1.1,46,79
2014-04-07,105,轻度污染,78,160,40,1.1,64,91
2014-04-08,163,中度污染,124,212,83,1.7,78,129
2014-04-09,105,轻度污染,78,160,54,0.9,44,107
2014-04-10,71,良,47,92,25,0.6,51,92
2014-04-11,99,良,74,121,43,1.2,79,107
2014-04-12,158,中度污染,120,205,74,1.5,96,108
2014-04-13,147,轻度污染,112,180,71,1.3,89,125
2014-04-14,180,中度污染,136,230,54,1.6,47,155
2014-04-15,86,良,37,121,17,0.5,36,96
2014-04-16,80,良,50,108,37,0.9,64,107
2014-04-17,85,良,55,120,35,0.9,55,74
2014-04-18,63,良,29,76,17,0.5,33,101
2014-04-19,80,良,52,110,26,0.6,52,121
2014-04-20,77,良,44,103,23,0.8,43,90
2014-04-21,94,良,70,112,23,1.1,52,90
2014-04-22,79,良,56,107,39,1,45,112
2014-04-23,122,轻度污染,82,194,47,1.1,40,134
2014-04-24,111,轻度污染,76,172,42,0.8,33,152
2014-04-25,90,良,45,111,39,0.7,32,147
2014-04-26,75,良,50,100,33,0.8,33,115
2014-04-27,71,良,45,91,19,0.7,36,86
2014-04-28,90,良,46,129,26,0.8,52,106
2014-04-29,116,轻度污染,86,181,50,1.2,87,148
2014-04-30,118,轻度污染,89,166,54,1.2,48,178
