date,AQI,质量等级,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-01-01,129,轻度污染,71,208,138,1.3,73,31
2014-01-02,144,轻度污染,99,238,148,2.1,83,28
2014-01-03,209,重度污染,159,312,174,2.3,93,17
2014-01-04,114,轻度污染,86,171,108,1.4,63,34
2014-01-05,242,重度污染,192,315,127,1.8,79,24
2014-01-06,489,严重污染,361,589,161,4.1,116,13
2014-01-08,124,轻度污染,94,156,120,1.6,55,31
2014-01-09,118,轻度污染,90,163,148,1.5,59,33
2014-01-10,199,中度污染,149,242,110,1.9,62,38
2014-01-11,206,重度污染,156,241,113,2,68,40
2014-01-12,227,重度污染,177,279,173,2.4,82,34
2014-01-13,134,轻度污染,102,179,126,1.7,64,41
2014-01-14,226,重度污染,176,287,130,2,72,35
2014-01-15,249,重度污染,199,307,114,1.9,66,54
2014-01-16,209,重度污染,159,263,106,1.5,61,63
2014-01-17,330,严重污染,280,423,130,3,78,16
2014-01-18,191,中度污染,144,225,105,2,74,42
2014-01-19,253,重度污染,203,341,143,2.3,88,53
2014-01-20,168,中度污染,95,287,68,1.3,54,62
2014-01-21,61,良,31,73,57,1,47,38
2014-01-22,102,轻度污染,61,155,72,1,49,62
2014-01-23,110,轻度污染,73,170,67,1.1,51,85
2014-01-24,222,重度污染,172,305,176,3.4,107,50
2014-01-25,153,中度污染,117,208,121,2.5,66,50
2014-01-26,84,良,53,118,82,1.4,52,53
2014-01-27,108,轻度污染,68,167,67,1.2,44,69
2014-01-28,120,轻度污染,91,186,111,1.7,55,48
2014-01-29,113,轻度污染,85,161,61,1.2,28,85
2014-01-30,315,严重污染,265,394,130,2.5,60,73
2014-02-01,289,重度污染,239,399,67,3.8,37,9
2014-02-02,248,重度污染,198,330,98,3.1,48,19
2014-02-03,81,良,39,112,105,1.2,34,60
2014-02-04,69,良,43,88,129,1.4,42,45
2014-02-05,89,良,66,92,79,1.4,38,37
2014-02-06,117,轻度污染,89,113,131,1.5,48,48
2014-02-07,112,轻度污染,85,111,113,1.6,56,35
2014-02-08,110,轻度污染,83,112,129,1.6,47,56
2014-02-09,70,良,51,77,78,1.4,30,58
2014-02-10,60,良,43,71,91,1.4,40,68
2014-02-11,107,轻度污染,81,118,126,1.5,54,64
2014-02-12,225,重度污染,175,253,229,2.3,85,33
2014-02-13,205,重度污染,155,223,183,2.1,79,64
2014-02-14,190,中度污染,143,206,106,1.6,58,101
2014-02-15,148,轻度污染,114,164,66,1.4,45,88
2014-02-16,220,重度污染,170,259,182,2.1,75,66
2014-02-17,169,中度污染,129,200,148,1.9,63,45
2014-02-18,93,良,69,126,180,1.7,69,51
2014-02-19,160,中度污染,122,211,194,2.4,92,26
2014-02-20,191,中度污染,144,246,151,2.4,76,50
2014-02-21,159,中度污染,122,206,74,1.5,58,101
2014-02-22,164,中度污染,125,222,126,1.9,82,87
2014-02-23,196,中度污染,147,270,133,2.1,92,69
2014-02-24,255,重度污染,205,368,139,2.5,107,50
2014-02-25,238,重度污染,188,335,118,2.4,98,73
2014-02-26,117,轻度污染,88,169,77,1.5,61,68
2014-02-27,81,良,60,108,56,1.3,46,60
2014-02-28,90,良,56,130,130,1.6,87,47
2014-03-01,129,轻度污染,98,171,85,1.4,74,83
2014-03-02,179,中度污染,135,237,93,1.6,70,85
2014-03-03,120,轻度污染,91,183,69,1.2,50,91
2014-03-04,85,良,57,119,78,1.2,56,86
2014-03-05,109,轻度污染,82,161,128,1.8,86,65
2014-03-06,135,轻度污染,103,212,140,1.8,84,46
2014-03-07,141,轻度污染,108,190,109,1.4,68,73
2014-03-08,147,轻度污染,112,187,84,1.1,63,94
2014-03-09,206,重度污染,156,276,175,2,102,64
2014-03-10,175,中度污染,132,250,93,1.4,63,120
2014-03-11,113,轻度污染,85,175,60,0.9,59,135
2014-03-12,112,轻度污染,59,174,70,0.9,69,72
2014-03-13,91,良,52,132,71,1.1,64,58
2014-03-14,89,良,43,128,58,0.8,50,78
2014-03-15,110,轻度污染,49,170,48,0.5,34,117
2014-03-16,100,良,58,150,48,0.7,43,131
2014-03-17,147,轻度污染,99,243,66,0.9,48,123
2014-03-18,309,严重污染,88,427,98,1.1,47,73
2014-03-19,89,良,55,129,89,1,45,83
2014-03-20,76,良,40,102,29,0.6,30,94
2014-03-21,87,良,40,123,42,0.6,31,103
2014-03-22,96,良,51,142,38,0.6,32,118
2014-03-23,118,轻度污染,78,187,51,1,67,126
2014-03-24,122,轻度污染,83,195,65,0.9,52,144
2014-03-25,192,中度污染,144,279,98,1.4,75,95
2014-03-26,205,重度污染,155,296,46,1.3,58,116
2014-03-27,104,轻度污染,61,139,35,0.7,31,164
2014-03-28,120,轻度污染,91,190,47,1,49,111
2014-03-29,221,重度污染,171,317,72,1.4,59,91
2014-03-30,116,轻度污染,69,182,57,1.1,64,134
2014-03-31,141,轻度污染,86,232,69,1,74,134
2014-04-01,111,轻度污染,70,173,43,0.8,48,145
2014-04-02,120,轻度污染,72,191,53,0.8,45,126
2014-04-03,121,轻度污染,64,192,77,1.1,51,100
2014-04-04,165,中度污染,73,280,62,0.9,56,132
2014-04-05,106,轻度污染,39,163,65,0.7,38,100
2014-04-06,105,轻度污染,51,160,52,0.7,50,106
2014-04-07,102,轻度污染,57,154,51,0.8,53,107
2014-04-08,126,轻度污染,89,201,39,1,61,154
2014-04-09,118,轻度污染,77,179,30,0.9,35,180
2014-04-10,177,中度污染,134,293,154,1.7,70,113
2014-04-11,202,重度污染,152,285,163,1.7,77,51
2014-04-12,186,中度污染,140,214,86,1.9,74,24
2014-04-13,208,重度污染,158,247,102,1.3,57,129
2014-04-14,122,轻度污染,92,156,30,0.7,26,151
2014-04-15,146,轻度污染,112,242,131,1.4,63,128
2014-04-16,170,中度污染,129,277,148,1.9,74,143
2014-04-17,174,中度污染,132,215,49,1.3,54,81
2014-04-18,229,重度污染,179,283,126,1.9,62,72
2014-04-19,107,轻度污染,78,163,143,1.5,73,64
2014-04-20,167,中度污染,127,235,132,1.3,76,85
2014-04-21,211,重度污染,161,271,61,1.4,61,108
2014-04-22,128,轻度污染,97,177,49,0.8,38,142
2014-04-23,99,良,67,148,33,0.6,19,149
