date,AQI,质量等级,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-01-01,112,轻度污染,84,129,19,1.5,83,97
2014-01-02,107,轻度污染,81,126,17,1.4,77,82
2014-01-03,116,轻度污染,88,136,16,1.5,85,113
2014-01-04,130,轻度污染,99,133,27,1.5,48,123
2014-01-05,126,轻度污染,96,138,27,1.3,32,143
2014-01-06,126,轻度污染,96,132,20,1.4,31,131
2014-01-07,61,良,41,71,10,1,30,100
2014-01-08,72,良,53,80,10,1.4,53,55
2014-01-09,63,良,45,65,11,1.7,35,60
2014-01-10,79,良,58,82,10,1.5,34,71
2014-01-11,65,良,47,70,11,1.1,35,90
2014-01-12,77,良,56,81,11,1.3,38,99
2014-01-13,51,良,35,49,9,1.3,27,66
2014-01-14,60,良,43,57,10,1.4,28,69
2014-01-15,67,良,49,67,11,1.2,29,94
2014-01-16,73,良,54,88,11,1.2,45,94
2014-01-17,85,良,63,104,12,1.3,57,106
2014-01-18,82,良,61,92,15,1.2,30,103
2014-01-19,127,轻度污染,97,136,16,1.3,46,108
2014-01-20,116,轻度污染,88,126,14,1.4,61,115
2014-01-21,98,良,74,116,23,1.2,19,98
2014-01-22,92,良,69,119,16,1.1,37,103
2014-01-23,78,良,57,94,14,1.2,46,104
2014-01-24,49,优,30,49,9,1,35,92
2014-01-25,43,优,27,40,7,0.9,36,85
2014-01-26,63,良,45,63,9,1.2,34,102
2014-01-27,73,良,53,84,10,1.1,20,106
2014-01-28,55,良,36,59,12,1,31,92
2014-01-29,50,优,31,50,8,1,39,93
2014-01-30,60,良,43,61,12,1.1,48,92
2014-01-31,81,良,59,79,15,1,40,91
2014-02-01,50,优,35,50,8,1,37,75
2014-02-02,45,优,27,45,8,0.9,30,68
2014-02-03,51,良,35,52,14,1,45,91
2014-02-04,50,优,34,51,7,1.4,21,79
2014-02-05,37,优,21,30,4,1.5,12,73
2014-02-06,30,优,11,17,6,1.2,19,59
2014-02-07,44,优,31,44,10,1.1,57,34
2014-02-08,38,优,27,37,5,1.6,26,26
2014-02-09,20,优,12,19,4,1.2,19,39
2014-02-10,41,优,29,33,6,1.4,15,45
2014-02-11,56,良,40,47,8,1.3,16,49
2014-02-12,66,良,48,59,5,1.3,26,50
2014-02-13,29,优,20,27,4,1.3,21,43
2014-02-14,62,良,44,51,7,1.2,18,76
2014-02-15,63,良,45,61,7,1.3,32,63
2014-02-16,62,良,45,65,7,1.1,30,61
2014-02-17,57,良,41,59,7,1.2,43,55
2014-02-18,60,良,43,67,8,1.4,54,36
2014-02-19,25,优,10,16,5,1.3,22,50
2014-02-20,38,优,25,38,6,1.2,20,69
2014-02-21,56,良,36,62,8,1,29,93
2014-02-22,57,良,40,60,9,0.9,33,92
2014-02-23,51,良,34,53,8,0.9,22,99
2014-02-24,44,优,21,36,7,0.8,27,87
2014-02-25,47,优,28,47,9,0.9,35,72
2014-02-26,54,良,35,57,13,1,55,56
2014-02-27,46,优,29,46,9,1,41,66
2014-02-28,37,优,23,37,7,1,27,66
2014-03-01,53,良,29,56,7,1,43,51
2014-03-02,46,优,27,46,7,1.2,39,51
2014-03-03,37,优,23,37,5,1,22,74
2014-03-04,64,良,46,70,8,1.1,47,78
2014-03-05,50,优,24,50,6,1.3,34,51
2014-03-06,51,良,32,52,7,0.9,22,76
2014-03-07,42,优,29,39,5,0.9,24,68
2014-03-08,49,优,34,47,4,0.8,32,59
2014-03-09,27,优,17,27,5,1,28,33
2014-03-10,40,优,28,40,6,1,33,46
2014-03-11,67,良,48,70,10,0.9,30,76
2014-03-12,76,良,56,86,7,1,54,66
2014-03-13,53,良,36,56,6,1,37,69
2014-03-14,67,良,49,76,9,0.8,29,77
2014-03-15,90,良,67,100,11,0.8,42,58
2014-03-16,82,良,61,114,13,0.7,45,83
2014-03-17,73,良,53,84,8,0.8,52,70
2014-03-18,59,良,39,67,10,0.7,46,52
2014-03-19,59,良,40,68,10,0.8,45,49
2014-03-20,74,良,54,96,17,1,57,53
2014-03-21,59,良,41,68,9,0.9,25,53
2014-03-22,62,良,44,74,9,0.9,30,107
2014-03-23,55,良,29,60,9,0.8,22,102
2014-03-24,55,良,35,60,10,0.8,26,86
2014-03-25,55,良,32,61,11,0.8,45,79
2014-03-26,53,良,34,57,12,0.9,48,58
2014-03-27,48,优,24,48,12,0.8,39,51
2014-03-28,40,优,28,40,7,0.9,26,60
2014-03-29,50,优,29,51,6,1,49,42
2014-03-30,49,优,29,49,6,1,39,50
2014-03-31,36,优,19,32,5,1,38,71
2014-04-01,44,优,28,44,6,1.2,41,42
2014-04-02,37,优,21,37,5,1.2,34,48
2014-04-03,29,优,16,29,6,1,40,55
2014-04-04,56,良,40,62,7,1,30,91
2014-04-05,65,良,47,73,10,0.8,25,116
2014-04-06,71,良,52,74,8,0.9,26,102
2014-04-07,49,优,34,49,5,0.8,19,83
2014-04-08,49,优,31,49,6,0.9,47,78
2014-04-09,55,良,35,60,9,1,48,76
2014-04-10,55,良,28,43,5,0.8,20,106
2014-04-11,49,优,27,46,6,0.7,25,97
2014-04-12,50,优,26,50,9,0.7,35,64
2014-04-13,64,良,44,78,20,0.8,64,80
2014-04-14,56,良,36,63,10,0.9,40,85
2014-04-15,56,良,28,57,6,0.9,17,107
2014-04-16,54,良,34,58,6,0.9,25,94
2014-04-17,52,良,25,54,9,0.9,35,69
