date,AQI,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-01-01,85,¡º,46,120,98,0.9,53,56
2014-01-02,205,÷ÿ∂»Œ€»æ,155,261,221,2.5,106,23
2014-01-03,138,«·∂»Œ€»æ,106,210,178,1.6,74,50
2014-01-04,229,÷ÿ∂»Œ€»æ,179,333,171,3,87,27
2014-01-05,274,÷ÿ∂»Œ€»æ,224,376,150,3.3,85,30
2014-01-06,372,—œ÷ÿŒ€»æ,322,467,150,4.3,85,22
2014-01-07,402,—œ÷ÿŒ€»æ,345,502,180,4.2,85,17
2014-01-08,225,÷ÿ∂»Œ€»æ,175,275,109,2.7,58,35
2014-01-09,152,÷–∂»Œ€»æ,117,240,126,2.2,63,27
2014-01-10,253,÷ÿ∂»Œ€»æ,203,372,268,3,96,14
2014-01-11,489,—œ÷ÿŒ€»æ,367,589,297,5.5,129,11
2014-01-12,211,÷ÿ∂»Œ€»æ,161,284,142,2.1,77,57
2014-01-13,238,÷ÿ∂»Œ€»æ,188,346,198,5,88,32
2014-01-14,349,—œ÷ÿŒ€»æ,260,459,259,5.5,109,13
2014-01-18,485,—œ÷ÿŒ€»æ,419,585,176,5.3,120,19
2014-01-20,98,¡º,27,146,46,0.6,33,59
2014-01-21,131,«·∂»Œ€»æ,100,213,118,2.2,59,27
2014-01-22,275,÷ÿ∂»Œ€»æ,212,403,277,3.9,113,18
2014-01-23,431,—œ÷ÿŒ€»æ,301,531,254,4.6,136,15
2014-01-24,416,—œ÷ÿŒ€»æ,300,516,236,4.7,154,22
2014-01-25,213,÷ÿ∂»Œ€»æ,163,292,143,3.1,87,49
2014-01-26,237,÷ÿ∂»Œ€»æ,187,326,156,2.8,76,28
2014-01-27,407,—œ÷ÿŒ€»æ,299,507,176,4.3,94,24
2014-01-28,299,÷ÿ∂»Œ€»æ,242,419,151,3.7,76,43
2014-01-29,377,—œ÷ÿŒ€»æ,268,481,180,4,88,35
2014-01-30,227,÷ÿ∂»Œ€»æ,177,328,115,2.6,55,62
2014-01-31,238,÷ÿ∂»Œ€»æ,188,319,110,1.5,35,43
2014-02-01,220,÷ÿ∂»Œ€»æ,170,296,100,1.7,37,31
2014-02-02,261,÷ÿ∂»Œ€»æ,191,393,74,2.2,35,23
2014-02-03,109,«·∂»Œ€»æ,74,169,50,0.9,19,54
2014-02-04,112,«·∂»Œ€»æ,83,173,72,1,25,43
2014-02-05,116,«·∂»Œ€»æ,87,134,66,0.7,22,35
2014-02-06,132,«·∂»Œ€»æ,101,147,87,0.7,23,38
2014-02-07,119,«·∂»Œ€»æ,90,125,62,0.6,18,36
2014-02-08,163,÷–∂»Œ€»æ,124,179,60,0.9,20,63
2014-02-09,43,”≈,26,43,36,0.5,14,55
2014-02-10,62,¡º,38,75,47,1,29,53
2014-02-11,184,÷–∂»Œ€»æ,139,223,153,2.3,64,24
2014-02-12,378,—œ÷ÿŒ€»æ,299,482,231,3.6,98,16
2014-02-13,404,—œ÷ÿŒ€»æ,323,504,261,3.5,102,46
2014-02-14,442,—œ÷ÿŒ€»æ,340,542,231,3.1,108,39
2014-02-17,228,÷ÿ∂»Œ€»æ,178,290,110,1.8,80,56
2014-02-18,118,«·∂»Œ€»æ,89,169,84,0.9,55,53
2014-02-19,212,÷ÿ∂»Œ€»æ,162,274,87,1.5,64,61
2014-02-20,283,÷ÿ∂»Œ€»æ,233,367,127,2.1,73,43
2014-02-21,398,—œ÷ÿŒ€»æ,348,474,137,2.7,106,39
2014-02-22,405,—œ÷ÿŒ€»æ,357,486,119,3.2,106,26
2014-02-23,395,—œ÷ÿŒ€»æ,345,473,113,3.4,97,26
2014-02-24,347,—œ÷ÿŒ€»æ,297,409,124,3,89,55
2014-02-25,499,—œ÷ÿŒ€»æ,431,599,167,3.9,119,57
2014-02-27,156,÷–∂»Œ€»æ,119,168,24,1.2,25,61
2014-02-28,110,«·∂»Œ€»æ,83,137,64,0.9,42,43
2014-03-01,150,«·∂»Œ€»æ,115,203,89,1.1,51,48
2014-03-02,187,÷–∂»Œ€»æ,141,262,106,1.6,65,42
2014-03-03,341,—œ÷ÿŒ€»æ,291,441,79,2.5,82,27
2014-03-04,237,÷ÿ∂»Œ€»æ,187,296,56,2.1,58,62
2014-03-05,78,¡º,55,107,47,0.7,35,58
2014-03-06,97,¡º,71,143,58,0.9,43,71
2014-03-07,175,÷–∂»Œ€»æ,132,234,127,1.6,73,52
2014-03-08,272,÷ÿ∂»Œ€»æ,222,359,164,2.1,100,36
2014-03-09,245,÷ÿ∂»Œ€»æ,195,299,97,1.7,76,75
2014-03-10,241,÷ÿ∂»Œ€»æ,191,294,133,1.8,84,50
2014-03-11,326,—œ÷ÿŒ€»æ,276,427,148,2.6,123,52
2014-03-12,100,¡º,67,151,46,0.7,46,53
2014-03-13,90,¡º,58,130,76,0.9,53,64
2014-03-14,105,«·∂»Œ€»æ,46,160,66,0.7,53,57
2014-03-15,109,«·∂»Œ€»æ,62,167,106,1.3,64,72
2014-03-16,217,÷ÿ∂»Œ€»æ,167,322,112,2.1,83,81
2014-03-17,398,—œ÷ÿŒ€»æ,216,498,110,2.3,100,50
2014-03-18,290,÷ÿ∂»Œ€»æ,152,413,73,1.6,63,71
2014-03-19,99,¡º,74,148,63,0.8,58,61
2014-03-20,73,¡º,28,95,39,1.3,37,68
2014-03-21,91,¡º,44,131,69,0.8,61,73
2014-03-22,120,«·∂»Œ€»æ,77,189,103,1.4,81,84
2014-03-23,149,«·∂»Œ€»æ,114,201,77,1.3,67,116
2014-03-24,168,÷–∂»Œ€»æ,127,243,103,1.6,89,93
2014-03-25,213,÷ÿ∂»Œ€»æ,163,274,107,1.9,92,109
2014-03-26,263,÷ÿ∂»Œ€»æ,213,329,114,2,89,76
2014-03-27,312,—œ÷ÿŒ€»æ,262,387,55,1.9,78,50
2014-03-28,248,÷ÿ∂»Œ€»æ,198,328,52,1.7,65,106
2014-03-29,176,÷–∂»Œ€»æ,133,281,51,1.4,64,103
2014-03-30,166,÷–∂»Œ€»æ,126,283,74,1.4,71,110
2014-03-31,103,«·∂»Œ€»æ,74,155,53,0.9,53,79
2014-04-01,119,«·∂»Œ€»æ,90,157,67,1,46,106
2014-04-02,216,÷ÿ∂»Œ€»æ,166,306,98,1.7,71,77
2014-04-03,91,¡º,55,132,37,0.7,34,94
2014-04-04,126,«·∂»Œ€»æ,65,201,58,0.8,57,69
2014-04-05,123,«·∂»Œ€»æ,48,197,43,0.5,32,85
2014-04-06,149,«·∂»Œ€»æ,85,248,77,1,69,70
2014-04-07,173,÷–∂»Œ€»æ,131,285,95,1.4,85,77
2014-04-08,222,÷ÿ∂»Œ€»æ,172,356,101,1.8,78,137
2014-04-09,211,÷ÿ∂»Œ€»æ,161,299,97,1.6,73,125
2014-04-10,169,÷–∂»Œ€»æ,67,289,34,0.8,27,105
2014-04-11,106,«·∂»Œ€»æ,61,161,25,0.8,31,59
2014-04-12,144,«·∂»Œ€»æ,110,209,41,1.2,39,97
2014-04-13,218,÷ÿ∂»Œ€»æ,168,268,59,1.4,41,93
2014-04-14,173,÷–∂»Œ€»æ,131,231,55,1.1,34,85
2014-04-15,107,«·∂»Œ€»æ,81,133,36,0.7,34,78
2014-04-16,79,¡º,57,108,35,0.6,33,91
2014-04-17,107,«·∂»Œ€»æ,81,114,21,0.8,23,91
2014-04-18,215,÷ÿ∂»Œ€»æ,165,221,40,1.4,49,84
2014-04-19,173,÷–∂»Œ€»æ,131,178,34,0.9,38,56
2014-04-20,205,÷ÿ∂»Œ€»æ,155,213,37,0.8,27,92
2014-04-21,234,÷ÿ∂»Œ€»æ,184,261,49,1,35,93
2014-04-22,126,«·∂»Œ€»æ,96,183,45,0.7,34,105
2014-04-23,154,÷–∂»Œ€»æ,118,212,48,0.8,36,84
2014-04-24,161,÷–∂»Œ€»æ,122,193,40,0.6,30,111
2014-04-25,157,÷–∂»Œ€»æ,120,200,44,0.7,32,111
2014-04-26,99,¡º,47,147,15,0.3,15,69
2014-04-27,112,«·∂»Œ€»æ,56,173,26,0.6,25,98
2014-04-28,109,«·∂»Œ€»æ,83,159,29,0.7,24,120
2014-04-29,116,«·∂»Œ€»æ,82,182,37,0.7,31,143
2014-04-30,172,÷–∂»Œ€»æ,130,236,36,0.9,32,160
2014-05-01,228,÷ÿ∂»Œ€»æ,178,351,44,0.9,32,114
2014-05-02,76,¡º,26,102,17,0.2,14,100
2014-05-03,101,«·∂»Œ€»æ,43,152,30,0.4,26,104
2014-05-04,62,¡º,24,74,12,0.2,16,94
2014-05-05,72,¡º,32,93,38,0.4,38,98
2014-05-06,128,«·∂»Œ€»æ,74,207,53,1,59,95
2014-05-07,127,«·∂»Œ€»æ,96,198,42,0.8,43,163
2014-05-08,126,«·∂»Œ€»æ,96,168,58,0.9,38,135
