date,AQI,质量等级,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-01-01,75,良,55,83,17,0.7,76,59
2014-01-02,84,良,62,103,23,0.9,97,51
2014-01-03,102,轻度污染,77,126,19,1.2,88,67
2014-01-04,121,轻度污染,92,119,30,1.2,77,64
2014-01-05,206,重度污染,156,203,42,1.4,76,65
2014-01-06,110,轻度污染,83,148,29,1,50,59
2014-01-07,57,良,29,63,15,0.8,66,47
2014-01-08,55,良,38,60,11,1,47,59
2014-01-09,43,优,27,43,11,0.7,35,47
2014-01-10,53,良,30,55,13,0.6,36,53
2014-01-11,63,良,34,75,10,0.7,50,41
2014-01-12,60,良,33,70,8,0.7,51,35
2014-01-13,40,优,28,40,10,0.8,33,39
2014-01-14,50,优,35,51,10,0.8,38,42
2014-01-15,63,良,45,67,16,0.7,32,71
2014-01-16,54,良,31,59,13,0.6,51,63
2014-01-17,58,良,36,67,11,0.6,68,55
2014-01-18,95,良,71,102,19,0.9,58,90
2014-01-19,137,轻度污染,105,127,24,1,47,87
2014-01-20,78,良,57,88,12,0.8,57,53
2014-01-21,114,轻度污染,86,153,28,2.1,44,60
2014-01-22,65,良,41,79,20,1.6,44,87
2014-01-23,55,良,33,59,12,0.8,41,62
2014-01-24,49,优,25,49,11,0.8,45,49
2014-01-25,53,良,31,57,10,1,52,54
2014-01-26,123,轻度污染,93,112,14,1.2,34,68
2014-01-27,44,优,20,44,9,0.7,35,62
2014-01-28,50,优,24,50,11,0.7,45,45
2014-01-29,46,优,25,46,11,0.9,45,53
2014-01-30,86,良,64,122,14,1.1,47,60
2014-01-31,224,重度污染,174,238,27,1.2,36,69
2014-02-01,62,良,40,73,8,0.8,30,57
2014-02-02,56,良,38,63,11,0.9,31,59
2014-02-03,54,良,38,58,8,1.3,24,65
2014-02-04,30,优,18,29,6,1.2,17,60
2014-02-05,32,优,16,32,6,1,27,49
2014-02-06,27,优,9,27,8,0.7,30,38
2014-02-07,23,优,8,23,6,0.6,34,33
2014-02-08,21,优,10,21,6,0.7,25,40
2014-02-09,22,优,8,19,5,0.9,28,44
2014-02-10,31,优,17,31,8,0.9,25,41
2014-02-11,34,优,24,34,8,0.7,23,57
2014-02-12,41,优,27,41,8,0.8,35,57
2014-02-13,29,优,17,29,7,0.8,36,33
2014-02-14,33,优,18,33,8,0.8,26,34
2014-02-15,57,良,41,61,8,0.8,37,47
2014-02-16,48,优,29,48,8,1,53,30
2014-02-17,58,良,38,67,11,1.1,52,45
2014-02-18,20,优,12,20,9,0.9,34,40
2014-02-19,16,优,8,16,5,1,30,25
2014-02-20,28,优,14,24,6,0.8,28,55
2014-02-21,59,良,42,68,13,0.7,45,77
2014-02-22,58,良,37,66,15,0.7,54,55
2014-02-23,62,良,41,74,14,0.8,66,52
2014-02-24,65,良,36,80,14,0.8,72,37
2014-02-25,64,良,41,78,19,0.8,71,51
2014-02-26,61,良,41,72,17,1,68,60
2014-02-27,42,优,26,42,9,0.7,36,60
2014-02-28,59,良,31,68,13,0.8,62,54
2014-03-01,63,良,41,75,15,1,52,58
2014-03-02,32,优,15,24,8,0.8,32,63
