date,AQI,质量等级,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-01-01,84,良,62,115,116,3.5,58,20
2014-01-02,64,良,42,79,49,2.2,52,30
2014-01-03,85,良,63,120,96,2.7,50,29
2014-01-04,72,良,45,94,79,2,48,31
2014-01-05,82,良,60,111,101,2.7,53,27
2014-01-06,90,良,67,130,60,2.2,48,36
2014-01-07,92,良,44,133,35,1.2,35,34
2014-01-08,78,良,50,106,50,1.4,34,34
2014-01-09,123,轻度污染,93,146,119,2.4,46,28
2014-01-10,110,轻度污染,83,131,46,1.9,48,35
2014-01-11,121,轻度污染,91,141,63,2.2,45,36
2014-01-12,112,轻度污染,85,137,86,2.4,51,29
2014-01-13,133,轻度污染,101,167,105,3,55,30
2014-01-14,123,轻度污染,94,154,90,2.8,47,29
2014-01-15,158,中度污染,120,192,104,3.2,52,26
2014-01-16,126,轻度污染,96,158,79,2.2,51,26
2014-01-17,142,轻度污染,109,168,99,2.8,53,23
2014-01-18,157,中度污染,120,225,101,2.5,47,31
2014-01-19,137,轻度污染,73,224,47,1.3,40,32
2014-01-20,134,轻度污染,102,203,76,2.1,45,29
2014-01-21,96,良,72,129,92,2.3,39,23
2014-01-22,133,轻度污染,102,167,123,2.8,51,24
2014-01-23,146,轻度污染,112,202,130,3.2,54,22
2014-01-24,120,轻度污染,64,189,42,1.3,34,37
2014-01-25,91,良,59,133,50,1.3,36,38
2014-01-26,105,轻度污染,79,140,57,1.8,42,37
2014-01-27,125,轻度污染,95,168,73,2.3,45,38
2014-01-28,88,良,60,125,43,1.4,31,41
2014-01-29,120,轻度污染,68,191,43,1.3,29,42
2014-01-30,136,轻度污染,103,189,71,2,40,39
2014-01-31,203,重度污染,153,230,98,2.1,35,40
2014-02-01,97,良,73,125,69,1.7,32,48
2014-02-02,90,良,67,120,63,1.8,32,42
2014-02-03,105,轻度污染,67,161,47,1.5,32,43
2014-02-04,113,轻度污染,64,175,42,1.4,25,45
2014-02-05,108,轻度污染,72,167,39,1.4,24,49
2014-02-06,106,轻度污染,70,162,31,1.4,21,44
2014-02-07,179,中度污染,119,307,46,1.8,39,33
2014-02-08,124,轻度污染,81,198,20,1.1,20,45
2014-02-09,89,良,66,119,25,1.2,21,44
2014-02-10,136,轻度污染,104,157,60,1.7,28,39
2014-02-11,119,轻度污染,90,138,53,1.4,23,45
2014-02-12,86,良,64,93,42,1.2,20,45
2014-02-13,115,轻度污染,87,133,56,1.6,27,40
2014-02-14,131,轻度污染,99,147,61,1.4,25,44
2014-02-15,129,轻度污染,98,138,54,1.4,25,46
2014-02-16,74,良,54,72,41,1.1,18,49
2014-02-17,144,轻度污染,110,136,69,1.8,31,45
2014-02-18,100,良,75,141,44,1.3,26,44
2014-02-19,77,良,57,103,61,1.6,28,41
2014-02-20,107,轻度污染,81,123,62,2,29,26
2014-02-21,96,良,72,116,42,1.8,38,41
2014-02-22,137,轻度污染,104,150,32,1.8,36,52
2014-02-23,137,轻度污染,104,155,30,1.8,36,55
2014-02-24,150,轻度污染,115,170,41,1.9,40,62
2014-02-25,135,轻度污染,103,193,40,1.8,35,56
2014-02-26,116,轻度污染,49,182,12,0.9,21,49
2014-02-27,83,良,44,115,21,1.1,28,41
2014-02-28,87,良,40,124,16,0.9,26,43
2014-03-01,90,良,43,130,19,1.1,31,39
2014-03-02,87,良,42,124,21,1,29,39
2014-03-03,120,轻度污染,71,190,24,1.3,34,47
2014-03-04,101,轻度污染,38,151,19,1.1,28,43
2014-03-05,90,良,39,131,18,1.1,26,36
2014-03-06,83,良,48,115,26,1,29,39
2014-03-07,80,良,51,110,16,1.2,27,41
2014-03-08,88,良,65,120,17,1.2,32,39
2014-03-09,86,良,64,123,32,1.3,36,39
2014-03-10,107,轻度污染,81,145,37,1.5,41,43
2014-03-11,125,轻度污染,74,200,24,1.3,37,45
2014-03-12,90,良,35,130,13,0.9,28,43
2014-03-13,86,良,55,122,21,1.2,32,34
2014-03-14,98,良,72,146,42,1.7,43,32
2014-03-15,108,轻度污染,78,166,52,1.8,45,29
2014-03-16,109,轻度污染,70,168,57,1.8,46,36
2014-03-17,156,中度污染,74,262,20,1.3,41,40
2014-03-18,158,中度污染,87,267,51,2.3,57,33
2014-03-19,190,中度污染,69,329,16,1.1,35,28
2014-03-20,96,良,37,142,15,0.9,33,28
2014-03-21,119,轻度污染,77,188,46,1.4,41,40
