date,AQI,质量等级,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-01-01,120,轻度污染,91,189,71,3.9,68,24
2014-01-02,117,轻度污染,89,178,66,3.7,64,22
2014-01-03,92,良,50,134,49,2.7,52,32
2014-01-04,112,轻度污染,74,173,67,3.4,65,23
2014-01-05,201,重度污染,151,288,108,4.2,82,17
2014-01-06,218,重度污染,168,311,147,4.3,84,16
2014-01-07,118,轻度污染,89,165,64,3,52,17
2014-01-08,72,良,34,95,45,2.4,40,33
2014-01-09,95,良,64,139,80,2.8,55,19
2014-01-10,180,中度污染,136,236,119,3,76,15
2014-01-11,169,中度污染,129,218,94,2.7,68,21
2014-01-12,92,良,48,134,63,2.2,56,25
2014-01-13,118,轻度污染,81,186,76,2.8,63,19
2014-01-14,186,中度污染,140,264,97,3.4,81,16
2014-01-15,271,重度污染,221,363,119,3.7,90,18
2014-01-16,322,严重污染,272,397,122,4,99,18
2014-01-17,237,重度污染,187,272,84,3.4,87,22
2014-01-18,123,轻度污染,93,174,91,2.6,72,21
2014-01-19,101,轻度污染,57,151,60,2,59,35
2014-01-20,78,良,46,106,53,2.1,60,35
2014-01-21,107,轻度污染,78,164,65,2.6,69,22
2014-01-22,191,中度污染,144,231,95,3.1,91,24
2014-01-23,248,重度污染,198,292,113,3.4,97,28
2014-01-24,224,重度污染,174,282,100,2.7,79,21
2014-01-25,131,轻度污染,100,190,77,2.5,70,24
2014-01-26,169,中度污染,128,219,86,2.4,65,29
2014-01-27,253,重度污染,203,290,81,2.8,75,35
2014-01-28,250,重度污染,200,283,89,2.9,77,35
2014-01-29,292,重度污染,242,331,82,3.1,84,53
2014-01-30,352,严重污染,302,410,93,3.3,89,77
2014-02-01,395,严重污染,345,453,69,3.8,73,38
2014-02-02,432,严重污染,398,511,65,4.3,87,62
2014-02-03,254,重度污染,204,327,52,2.7,54,51
2014-02-04,122,轻度污染,63,195,54,2,36,35
2014-02-05,83,良,61,87,30,1.9,30,27
2014-02-06,100,良,75,95,48,1.8,33,23
2014-02-07,236,重度污染,186,242,57,2.3,61,28
2014-02-08,230,重度污染,180,231,73,2.4,46,23
2014-02-09,93,良,70,100,56,1.9,37,39
2014-02-10,110,轻度污染,83,115,58,2,43,40
2014-02-11,164,中度污染,125,164,88,2.1,52,31
2014-02-12,232,重度污染,182,231,90,2.5,56,34
2014-02-13,201,重度污染,151,186,101,2.4,52,43
2014-02-14,235,重度污染,185,235,97,2.6,58,36
2014-02-15,298,重度污染,248,313,86,3,63,25
2014-02-16,278,重度污染,228,290,77,2.8,61,23
2014-02-17,183,中度污染,138,171,44,2.5,46,20
2014-02-18,194,中度污染,146,181,59,2.3,46,33
2014-02-19,173,中度污染,131,167,55,2.4,56,49
2014-02-20,194,中度污染,146,206,59,2.4,56,34
2014-02-21,258,重度污染,208,292,90,2.4,64,25
2014-02-22,292,重度污染,242,336,80,2.6,64,29
2014-02-23,296,重度污染,246,345,75,2.7,66,30
2014-02-24,291,重度污染,241,343,68,2.8,62,23
2014-02-25,296,重度污染,246,355,58,2.8,61,28
2014-02-26,213,重度污染,163,255,44,2.6,50,19
2014-02-27,124,轻度污染,70,199,43,2.1,41,30
2014-02-28,117,轻度污染,89,122,38,2.1,38,21
2014-03-01,174,中度污染,132,185,43,2.6,51,15
2014-03-02,209,重度污染,159,242,55,2.9,59,14
2014-03-03,250,重度污染,200,303,53,3,63,14
2014-03-04,142,轻度污染,108,173,50,2.3,48,43
2014-03-05,149,轻度污染,114,191,52,2.5,53,26
2014-03-06,166,中度污染,126,161,44,2.8,49,15
2014-03-07,149,轻度污染,114,160,44,2.6,43,25
2014-03-08,123,轻度污染,94,138,48,3,49,49
2014-03-09,108,轻度污染,81,158,45,3.2,58,64
2014-03-10,146,轻度污染,112,210,50,3,59,64
2014-03-11,102,轻度污染,77,151,44,2.2,48,44
2014-03-12,106,轻度污染,35,163,25,1.7,32,57
2014-03-13,75,良,33,100,34,1.7,41,61
2014-03-14,96,良,50,142,34,2,52,50
2014-03-15,108,轻度污染,61,167,37,2.1,52,69
2014-03-16,119,轻度污染,76,189,35,2.3,61,67
2014-03-17,144,轻度污染,88,237,34,2.3,53,61
2014-03-18,214,重度污染,110,360,36,2.2,55,20
2014-03-19,113,轻度污染,74,175,30,2,42,52
2014-03-20,74,良,27,99,18,1.6,33,56
2014-03-21,97,良,50,144,29,2,51,58
2014-03-22,111,轻度污染,70,172,38,2.5,59,74
2014-03-23,105,轻度污染,71,160,38,2.4,55,69
2014-03-24,88,良,52,125,39,2,44,69
2014-03-25,102,轻度污染,67,154,28,2.1,53,87
2014-03-26,126,轻度污染,81,203,34,2.1,64,100
2014-03-27,103,轻度污染,58,156,23,1.6,42,67
2014-03-28,167,中度污染,71,283,25,1.5,45,42
2014-03-29,245,重度污染,93,382,33,1.7,56,74
2014-03-30,122,轻度污染,81,195,26,1.8,59,53
2014-03-31,111,轻度污染,84,145,19,1.8,36,54
2014-04-01,101,轻度污染,76,150,26,1.9,58,71
2014-04-02,108,轻度污染,77,166,32,1.8,62,48
2014-04-03,102,轻度污染,77,137,28,1.8,52,59
