date,AQI,质量等级,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-01-01,139,轻度污染,106,148,87,1.5,71,73
2014-01-02,142,轻度污染,109,140,78,1.4,59,78
2014-01-03,110,轻度污染,83,107,67,1.1,35,88
2014-01-04,122,轻度污染,92,122,116,1.3,66,83
2014-01-05,151,中度污染,116,162,89,1.5,65,81
2014-01-06,190,中度污染,143,177,63,1.4,52,58
2014-01-07,119,轻度污染,90,115,48,1,36,63
2014-01-08,109,轻度污染,83,90,40,1.1,33,51
2014-01-09,122,轻度污染,92,100,64,1.1,33,61
2014-01-10,75,良,55,45,24,1.4,36,37
2014-01-11,53,良,37,39,43,1.3,29,26
2014-01-12,59,良,42,42,40,1.2,29,28
2014-01-13,83,良,61,58,47,1.2,34,68
2014-01-14,131,轻度污染,100,134,70,1.8,54,53
2014-01-15,133,轻度污染,101,114,70,1.6,55,45
2014-01-16,156,中度污染,119,131,98,1.4,58,36
2014-01-17,145,轻度污染,111,126,106,1.3,45,83
2014-01-18,122,轻度污染,93,109,67,1.2,50,84
2014-01-19,114,轻度污染,87,107,59,1,41,84
2014-01-20,77,良,57,69,52,0.9,29,81
2014-01-21,157,中度污染,120,143,86,1.6,64,51
2014-01-22,111,轻度污染,84,113,75,1.2,51,93
2014-01-23,101,轻度污染,76,97,51,0.9,47,105
2014-01-24,107,轻度污染,81,104,47,0.9,38,129
2014-01-25,183,中度污染,138,163,83,1.3,50,132
2014-01-26,157,中度污染,120,132,52,1.1,37,105
2014-01-27,148,轻度污染,113,117,60,1.2,34,42
2014-01-28,147,轻度污染,112,109,55,1.5,38,34
2014-01-29,133,轻度污染,102,108,68,1.7,40,47
2014-01-30,136,轻度污染,104,95,52,1.3,28,69
2014-01-31,82,良,61,65,28,0.6,16,76
2014-02-01,67,良,49,54,27,0.7,21,85
2014-02-02,86,良,64,73,36,0.9,27,81
2014-02-03,100,良,75,86,31,1,23,57
2014-02-04,84,良,62,64,20,0.7,16,88
2014-02-05,54,良,38,45,14,0.7,14,88
2014-02-06,46,优,32,44,15,1,13,46
2014-02-07,44,优,31,28,24,0.9,14,50
2014-02-08,29,优,20,22,20,0.8,15,50
2014-02-09,23,优,14,14,14,0.6,9,46
2014-02-10,90,良,67,66,35,1,12,81
2014-02-11,83,良,61,65,37,0.8,15,73
2014-02-12,90,良,67,71,51,0.8,19,64
2014-02-13,91,良,68,70,43,0.9,16,78
2014-02-14,94,良,70,77,57,0.8,21,74
2014-02-15,114,轻度污染,86,108,62,0.8,27,73
2014-02-16,105,轻度污染,79,67,34,1,30,46
2014-02-17,53,良,37,41,31,1,24,31
2014-02-18,44,优,31,28,32,1.2,27,35
2014-02-19,80,良,59,72,46,1.1,26,77
2014-02-20,81,良,59,104,40,1,29,59
2014-02-21,58,良,41,63,25,0.8,32,79
2014-02-22,55,良,39,46,30,0.9,34,52
2014-02-23,55,良,39,34,27,1,28,29
2014-02-24,44,优,31,30,38,1.2,29,17
2014-02-25,75,良,55,74,49,1.3,39,54
2014-02-26,85,良,63,88,49,1.3,37,32
2014-02-27,39,优,28,32,29,1.1,28,21
2014-02-28,46,优,32,43,27,1.2,25,16
2014-03-01,32,优,20,32,27,1,20,51
2014-03-02,30,优,21,29,14,0.9,17,54
2014-03-03,40,优,28,39,24,1.1,25,47
2014-03-04,61,良,44,62,44,1.1,31,61
2014-03-05,69,良,51,66,41,1,36,50
2014-03-06,32,优,21,32,24,1,22,53
2014-03-07,34,优,24,31,24,1,26,52
2014-03-08,42,优,28,42,31,1,26,57
2014-03-09,57,良,41,63,36,0.9,23,80
2014-03-10,77,良,57,77,35,0.9,33,69
2014-03-11,37,优,25,37,20,1.1,33,36
2014-03-12,79,良,58,90,38,1.2,36,94
2014-03-13,113,轻度污染,86,116,27,0.9,26,73
2014-03-14,85,良,63,90,28,0.9,27,66
2014-03-15,95,良,71,114,37,1,47,64
2014-03-16,118,轻度污染,89,147,62,1.2,51,81
2014-03-17,97,良,72,107,29,1.1,39,68
2014-03-18,75,良,55,84,14,1,27,104
2014-03-19,82,良,61,98,19,1,34,114
2014-03-20,48,优,33,46,10,0.8,18,95
2014-03-21,53,良,31,57,18,0.5,18,76
2014-03-22,64,良,46,72,20,0.7,31,63
2014-03-23,45,优,28,45,16,0.8,32,27
2014-03-24,31,优,22,31,12,0.8,31,40
2014-03-25,65,良,47,72,28,0.9,29,66
2014-03-26,75,良,55,82,31,1,35,72
2014-03-27,66,良,48,76,18,0.9,35,83
2014-03-28,59,良,38,68,23,0.7,26,109
2014-03-29,59,良,38,69,34,0.7,32,99
2014-03-30,61,良,44,69,15,0.7,27,83
2014-03-31,38,优,23,38,12,0.7,22,75
2014-04-01,79,良,58,88,18,0.8,30,86
2014-04-02,92,良,69,97,16,0.8,29,55
2014-04-03,88,良,65,97,30,0.8,34,88
2014-04-04,78,良,58,92,20,0.8,43,102
2014-04-05,88,良,66,91,16,1,40,55
2014-04-06,40,优,26,40,15,0.8,24,72
2014-04-07,57,良,41,57,12,1,38,48
2014-04-08,36,优,23,36,17,1,28,32
2014-04-09,50,优,26,50,16,0.9,31,57
2014-04-10,55,良,32,60,16,0.9,34,63
2014-04-11,62,良,37,73,10,0.7,25,93
2014-04-12,83,良,54,100,23,0.8,28,139
2014-04-13,75,良,55,100,14,0.8,25,100
2014-04-14,72,良,53,94,12,0.8,23,90
2014-04-15,82,良,60,97,8,0.8,19,124
2014-04-16,69,良,50,80,7,0.7,17,118
2014-04-17,71,良,51,89,9,0.7,20,125
2014-04-18,81,良,53,90,8,0.7,17,137
2014-04-19,64,良,44,78,14,0.7,18,112
2014-04-20,57,良,32,64,10,0.7,20,90
2014-04-21,61,良,36,71,24,0.8,21,64
2014-04-22,42,优,18,42,9,0.6,18,66
2014-04-23,45,优,26,45,6,0.6,21,59
2014-04-24,53,良,31,56,13,0.7,22,42
2014-04-25,61,良,40,72,15,0.7,23,49
2014-04-26,50,优,29,50,11,0.7,24,48
2014-04-27,61,良,35,73,20,0.6,26,68
2014-04-28,54,良,32,57,7,0.6,19,64
2014-04-29,61,良,36,72,13,0.5,22,83
2014-04-30,81,良,47,113,20,0.7,44,117
2014-05-01,89,良,49,128,20,0.7,42,120
2014-05-02,93,良,51,136,20,0.7,44,103
2014-05-03,76,良,50,102,17,0.7,34,84
2014-05-04,30,优,11,23,12,0.6,18,59
2014-05-05,58,良,27,65,13,0.4,16,100
2014-05-06,70,良,44,91,16,0.6,35,80
2014-05-07,73,良,53,81,27,0.8,43,56
2014-05-08,46,优,29,46,10,0.7,32,39
2014-05-09,47,优,29,47,9,0.8,27,91
2014-05-10,58,良,32,49,24,0.7,22,110
2014-05-11,48,优,28,47,17,0.6,19,96
2014-05-12,59,良,38,67,13,0.7,29,66
2014-05-13,56,良,39,62,14,0.7,24,96
2014-05-14,87,良,65,93,27,0.8,23,87
2014-05-15,64,良,46,71,19,0.7,23,78
2014-05-16,53,良,37,56,12,0.8,28,61
2014-05-17,64,良,46,74,24,0.6,22,82
