date,AQI,质量等级,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-01-01,94,良,47,137,106,2,60,37
2014-01-02,113,轻度污染,76,176,142,2.5,72,20
2014-01-03,76,良,38,102,95,1.9,52,38
2014-01-04,121,轻度污染,81,192,98,2.5,78,23
2014-01-05,139,轻度污染,106,184,139,3,81,32
2014-01-06,183,中度污染,138,190,102,3.1,82,23
2014-01-07,216,重度污染,166,228,164,3.7,95,18
2014-01-08,105,轻度污染,79,102,97,3,69,19
2014-01-09,112,轻度污染,84,128,64,2.7,56,30
2014-01-10,196,中度污染,147,235,97,3.2,69,18
2014-01-11,238,重度污染,188,276,106,3.6,75,16
2014-01-12,80,良,59,89,78,2.8,52,38
2014-01-13,129,轻度污染,98,175,90,3.2,67,25
2014-01-14,185,中度污染,139,191,35,3.1,54,22
2014-01-15,230,重度污染,180,255,59,3.7,64,20
2014-01-16,238,重度污染,188,263,126,4,80,28
2014-01-17,307,严重污染,257,324,117,4.6,85,25
2014-01-18,258,重度污染,208,273,90,4.2,73,42
2014-01-19,145,轻度污染,111,176,80,3.1,48,35
2014-01-20,54,良,23,57,55,1.9,34,49
2014-01-21,76,良,45,102,55,0.9,48,43
2014-01-22,104,轻度污染,78,146,73,1.3,64,47
2014-01-23,159,中度污染,121,186,87,1.9,77,48
2014-01-24,245,重度污染,195,280,148,3.8,96,17
2014-01-25,179,中度污染,135,185,119,3.2,69,43
2014-01-26,69,良,50,74,53,1.2,43,44
2014-01-27,115,轻度污染,87,134,72,1.8,61,42
2014-01-28,133,轻度污染,101,141,78,2.2,56,50
2014-01-29,182,中度污染,137,183,74,2.3,53,66
2014-01-30,243,重度污染,193,261,92,2.9,58,47
2014-01-31,314,严重污染,209,431,27,3.1,42,19
2014-02-01,230,重度污染,180,214,104,3.8,59,18
2014-02-02,258,重度污染,208,245,73,3.7,50,30
2014-02-03,25,优,0,0,0,0,0,49
2014-02-04,62,良,44,46,24,1.2,26,42
2014-02-05,52,良,36,46,17,1.3,22,37
2014-02-06,73,良,53,93,38,1.9,33,36
2014-02-07,138,轻度污染,105,162,82,2.3,42,41
2014-02-08,130,轻度污染,99,122,59,1.7,32,49
2014-02-09,70,良,51,62,39,1.6,25,46
2014-02-10,45,优,20,45,39,1.4,32,50
2014-02-11,82,良,60,104,60,1.8,46,42
2014-02-12,130,轻度污染,99,111,48,1.8,37,72
2014-02-13,201,重度污染,151,182,130,2.5,58,39
2014-02-14,213,重度污染,163,217,116,2.4,58,58
