date,AQI,质量等级,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-01-01,149,轻度污染,114,162,62,1.5,41,13
2014-01-02,176,中度污染,133,186,62,1.3,40,15
2014-01-03,209,重度污染,159,230,56,1.6,52,29
2014-01-04,206,重度污染,156,226,42,1.7,55,40
2014-01-05,210,重度污染,160,214,37,1.6,47,33
2014-01-06,202,重度污染,152,207,41,1.8,44,7
2014-01-07,159,中度污染,121,160,49,1.4,38,11
2014-01-08,118,轻度污染,89,110,44,1.2,36,9
2014-01-09,117,轻度污染,89,114,40,1.3,36,9
2014-01-10,97,良,73,95,31,1.3,36,12
2014-01-11,111,轻度污染,84,114,43,1.5,39,9
2014-01-12,122,轻度污染,92,119,39,1.6,37,7
2014-01-13,107,轻度污染,81,112,40,1.4,39,36
2014-01-14,105,轻度污染,79,113,31,1.5,41,43
2014-01-15,136,轻度污染,103,158,49,1.6,50,24
2014-01-16,198,中度污染,149,195,56,1.7,43,11
2014-01-17,190,中度污染,143,194,56,1.7,53,20
2014-01-18,164,中度污染,125,178,37,1.6,48,47
2014-01-19,203,重度污染,153,208,51,1.6,44,32
2014-01-20,153,中度污染,117,174,46,1.5,44,44
2014-01-21,177,中度污染,134,183,31,1.4,41,28
2014-01-22,143,轻度污染,109,174,38,1.4,56,49
2014-01-23,162,中度污染,123,204,68,1.7,73,32
2014-01-24,197,中度污染,148,226,70,1.7,69,50
2014-01-25,201,重度污染,151,220,65,1.6,63,47
2014-01-26,221,重度污染,171,235,50,1.9,59,40
2014-01-27,182,中度污染,137,185,37,1.8,48,23
2014-01-28,239,重度污染,189,247,64,2,48,13
2014-01-29,232,重度污染,182,238,45,2,48,27
2014-01-30,201,重度污染,151,210,30,1.8,38,35
2014-01-31,248,重度污染,198,266,28,1.7,31,28
2014-02-01,224,重度污染,174,233,27,1.8,35,35
2014-02-02,194,中度污染,146,198,24,1.8,32,49
2014-02-03,173,中度污染,131,175,24,2.1,35,38
2014-02-04,140,轻度污染,107,144,21,1.9,28,53
2014-02-05,65,良,47,66,19,1.9,24,56
2014-02-06,47,优,33,43,15,1.6,18,22
2014-02-07,55,良,39,52,14,1.1,22,9
2014-02-08,53,良,37,49,13,1.1,19,14
2014-02-09,26,优,18,25,12,0.9,18,23
2014-02-10,63,良,46,59,23,1.2,20,45
2014-02-11,86,良,64,82,33,1.2,25,38
2014-02-12,87,良,65,84,30,1,24,56
2014-02-13,97,良,73,99,37,1,30,63
2014-02-14,117,轻度污染,89,121,45,1.1,37,50
2014-02-15,123,轻度污染,93,130,40,1.1,40,37
2014-02-16,138,轻度污染,105,147,47,1.1,40,31
2014-02-17,160,中度污染,122,164,40,1.2,36,28
2014-02-18,65,良,47,65,25,1.1,26,24
2014-02-19,78,良,58,82,28,1.2,34,55
2014-02-20,81,良,60,82,35,1.1,34,44
2014-02-21,154,中度污染,118,172,67,1.5,56,32
2014-02-22,189,中度污染,142,197,66,1.5,52,23
2014-02-23,223,重度污染,173,242,80,1.7,52,20
2014-02-24,193,中度污染,145,202,52,1.8,50,8
2014-02-25,140,轻度污染,107,151,39,1.6,41,14
2014-02-26,97,良,73,109,33,1.4,42,14
2014-02-27,84,良,63,88,30,1.4,39,10
2014-02-28,51,良,33,52,20,1.1,29,14
2014-03-01,51,良,32,52,35,1.3,32,9
2014-03-02,42,优,28,42,27,1.3,30,11
2014-03-03,56,良,38,63,30,1.1,32,31
2014-03-04,66,良,48,79,43,1.2,35,39
2014-03-05,80,良,59,99,33,1.2,38,46
2014-03-06,71,良,52,80,28,0.9,31,48
2014-03-07,50,优,28,50,23,0.9,29,62
2014-03-08,59,良,38,68,48,1,35,41
2014-03-09,82,良,60,100,41,1.1,36,74
2014-03-10,87,良,65,109,49,1.2,41,88
2014-03-11,85,良,63,103,51,1.1,40,94
2014-03-12,107,轻度污染,81,128,74,1.1,43,73
2014-03-13,91,良,68,110,34,1.2,36,44
2014-03-14,59,良,38,69,23,0.8,31,37
2014-03-15,69,良,51,80,34,1.2,39,45
2014-03-16,81,良,60,102,38,1.2,42,116
2014-03-17,94,良,70,119,50,1.3,53,109
2014-03-18,136,轻度污染,104,164,66,1.4,57,137
2014-03-19,143,轻度污染,109,180,78,1.6,56,106
2014-03-20,43,优,28,43,11,0.8,18,82
2014-03-21,39,优,26,39,20,0.8,28,39
2014-03-22,57,良,40,65,40,1,36,22
2014-03-23,76,良,56,92,77,1.2,44,13
2014-03-24,90,良,67,105,44,1.3,43,9
2014-03-25,94,良,70,106,43,1.3,48,56
2014-03-26,95,良,71,113,41,1.2,49,108
2014-03-27,115,轻度污染,87,136,56,1.4,60,78
2014-03-28,92,良,69,102,34,1.3,45,50
2014-03-29,68,良,50,78,22,1.2,35,110
2014-03-30,40,优,26,40,11,0.8,27,79
2014-03-31,55,良,39,56,18,0.9,33,73
2014-04-01,46,优,33,43,16,1,37,42
2014-04-02,55,良,39,58,25,1,33,76
2014-04-03,75,良,55,87,34,1.2,49,58
2014-04-04,90,良,67,94,35,1.1,40,67
2014-04-05,77,良,57,72,23,1.1,36,54
2014-04-06,63,良,46,62,20,1,30,72
2014-04-07,69,良,50,78,30,1.2,40,84
2014-04-08,88,良,66,102,39,1.4,47,114
2014-04-09,72,良,52,89,42,1.3,46,68
2014-04-10,90,良,67,101,34,1.5,45,43
2014-04-11,81,良,60,86,25,1.4,39,28
2014-04-12,59,良,39,66,25,1.3,33,111
2014-04-13,44,优,27,44,24,1.2,25,81
2014-04-14,48,优,26,48,24,1.1,30,64
2014-04-15,53,良,33,55,25,1.2,29,68
2014-04-16,70,良,51,87,34,1.3,37,94
2014-04-17,71,良,52,85,30,1.2,29,113
2014-04-18,71,良,52,81,20,1.1,29,97
2014-04-19,38,优,20,38,15,1.1,24,65
2014-04-20,31,优,18,31,14,1.2,22,41
2014-04-21,30,优,19,30,13,1.1,24,39
2014-04-22,48,优,28,48,28,1.1,33,60
2014-04-23,53,良,29,56,26,1.1,38,61
2014-04-24,65,良,45,81,38,1.1,43,61
2014-04-25,54,良,33,57,23,1,34,50
2014-04-26,73,良,49,97,24,0.8,29,26
2014-04-27,60,良,43,71,18,0.9,28,74
2014-04-28,55,良,39,58,18,1.1,39,54
2014-04-29,63,良,43,75,19,0.9,34,90
2014-04-30,78,良,53,104,24,1.1,46,134
2014-05-01,78,良,49,96,22,0.9,39,133
2014-05-02,81,良,57,112,18,0.9,29,86
2014-05-03,37,优,26,37,11,0.9,26,29
2014-05-04,33,优,22,33,14,0.9,27,48
2014-05-05,57,良,32,63,27,0.9,37,79
2014-05-06,67,良,32,68,26,0.8,36,120
2014-05-07,97,良,46,96,33,0.9,50,156
2014-05-08,92,良,68,124,34,1.2,55,107
2014-05-09,137,轻度污染,105,165,32,1.3,46,34
2014-05-10,60,良,43,64,13,1,29,33
2014-05-11,69,良,30,58,21,0.9,32,123
2014-05-12,66,良,45,81,28,1.2,45,92
2014-05-13,82,良,60,101,28,1.3,40,40
2014-05-14,62,良,43,74,17,1,29,83
2014-05-15,61,良,36,72,27,0.9,36,58
2014-05-16,59,良,42,67,15,0.9,33,59
2014-05-17,75,良,51,88,22,1,34,130
2014-05-18,96,良,57,96,22,1.1,37,155
2014-05-19,92,良,69,103,16,1.2,34,130
2014-05-20,90,良,67,104,16,1.2,35,96
2014-05-21,39,优,24,39,10,0.8,29,56
2014-05-22,56,良,36,62,18,1.2,32,41
2014-05-23,55,良,33,60,17,1.2,36,32
2014-05-24,69,良,50,88,21,1.3,40,49
2014-05-25,66,良,43,83,13,1.2,31,40
2014-05-26,56,良,32,62,10,0.8,25,42
2014-05-27,75,良,53,99,19,1,36,83
2014-05-28,87,良,63,125,17,1.1,39,82
2014-05-29,85,良,62,120,19,1.2,41,100
2014-05-30,89,良,66,120,31,1.3,42,95
2014-05-31,58,良,40,65,22,0.9,27,78
2014-06-01,105,轻度污染,42,73,16,0.9,27,165
2014-06-02,88,良,44,68,9,1,33,146
2014-06-03,78,良,29,43,7,0.9,16,133
2014-06-04,68,良,49,75,16,1.2,33,99
2014-06-05,74,良,54,81,14,1.2,29,32
2014-06-06,47,优,29,47,13,0.9,23,70
2014-06-07,59,良,42,68,19,1,31,91
2014-06-08,70,良,51,77,15,1.1,33,66
2014-06-09,56,良,40,59,8,1.2,31,46
2014-06-10,40,优,25,40,11,1,33,39
2014-06-11,52,良,32,53,20,0.9,29,67
2014-06-12,63,良,45,71,21,0.9,30,46
2014-06-13,49,优,32,49,10,1,31,32
2014-06-14,46,优,29,46,10,1,32,40
2014-06-15,58,良,41,66,10,1.2,37,53
2014-06-16,60,良,42,69,12,1.3,36,106
2014-06-17,145,轻度污染,50,85,22,1.3,46,210
2014-06-18,133,轻度污染,53,99,17,1.2,43,196
2014-06-19,65,良,43,80,13,1.2,47,100
2014-06-20,44,优,27,44,6,1,30,36
2014-06-21,37,优,22,35,9,0.7,25,74
2014-06-22,39,优,25,39,11,0.8,29,59
2014-06-23,37,优,23,37,10,1,32,42
2014-06-24,45,优,30,45,13,1,28,42
2014-06-25,31,优,18,31,11,1,29,31
2014-06-26,54,良,35,58,15,1.3,43,38
2014-06-27,84,良,43,79,13,1.5,49,141
2014-06-28,63,良,42,77,15,1.3,46,100
2014-06-29,24,优,13,22,5,0.9,28,47
2014-06-30,30,优,18,30,7,1.1,33,36
2014-07-01,32,优,19,32,8,0.9,31,39
2014-07-02,86,良,30,51,10,1.1,35,143
2014-07-03,53,良,25,44,9,1,37,103
2014-07-04,84,良,26,44,9,0.8,30,141
2014-07-05,99,良,41,73,14,1.1,39,159
2014-07-06,67,良,32,64,13,1,35,120
2014-07-07,102,轻度污染,53,91,15,1.1,33,162
2014-07-08,121,轻度污染,50,86,15,1,29,183
2014-07-09,76,良,36,69,14,0.8,30,131
2014-07-10,63,良,38,76,12,0.9,28,107
2014-07-11,46,优,20,39,10,0.7,18,92
2014-07-12,41,优,20,41,12,0.8,27,75
2014-07-13,109,轻度污染,31,59,16,0.9,27,170
2014-07-14,77,良,25,47,11,0.8,35,132
2014-07-15,59,良,35,68,22,0.9,43,62
2014-07-16,116,轻度污染,41,76,18,1,33,178
2014-07-17,123,轻度污染,46,88,24,1,36,185
2014-07-18,69,良,23,49,20,0.8,27,123
2014-07-19,45,优,20,45,15,0.8,23,90
2014-07-20,39,优,15,38,11,0.7,21,78
2014-07-21,48,优,18,44,17,0.7,23,96
2014-07-22,85,良,23,57,23,0.7,30,142
2014-07-23,172,中度污染,40,86,31,0.8,35,237
2014-07-24,101,轻度污染,29,59,14,0.7,25,161
2014-07-25,141,轻度污染,35,69,20,0.8,34,205
2014-07-26,140,轻度污染,42,85,27,0.8,37,204
2014-07-27,88,良,35,64,22,0.7,25,146
