date,AQI,÷ ¡øµ»º∂,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-01-01,50,”≈,26,51,50,0.6,25,55
2014-01-02,75,¡º,47,100,64,1,44,47
2014-01-03,118,«·∂»Œ€»æ,90,136,79,1.1,54,40
2014-01-04,142,«·∂»Œ€»æ,109,148,72,1.5,63,43
2014-01-05,245,÷ÿ∂»Œ€»æ,195,264,92,2.3,82,37
2014-01-06,170,÷–∂»Œ€»æ,129,172,94,1.5,61,53
2014-01-07,91,¡º,67,98,67,1,37,48
2014-01-08,59,¡º,34,68,51,0.6,29,53
2014-01-09,71,¡º,52,83,62,0.8,38,53
2014-01-10,79,¡º,59,90,78,0.8,44,48
2014-01-11,78,¡º,57,98,80,0.8,42,49
2014-01-12,93,¡º,69,101,59,0.8,39,50
2014-01-13,114,«·∂»Œ€»æ,86,123,70,1.1,49,52
2014-01-14,132,«·∂»Œ€»æ,101,141,82,1.4,57,48
2014-01-15,142,«·∂»Œ€»æ,109,149,110,1.5,58,42
2014-01-16,163,÷–∂»Œ€»æ,124,161,78,1.3,53,54
2014-01-17,166,÷–∂»Œ€»æ,126,166,100,1.4,62,46
2014-01-18,158,÷–∂»Œ€»æ,121,160,73,1.3,51,46
2014-01-19,96,¡º,72,98,81,1.1,44,45
2014-01-20,135,«·∂»Œ€»æ,103,125,84,1.3,54,51
2014-01-21,208,÷ÿ∂»Œ€»æ,158,200,88,1.6,60,40
2014-01-22,137,«·∂»Œ€»æ,104,138,121,1.6,68,49
2014-01-23,107,«·∂»Œ€»æ,81,111,96,1.1,43,68
2014-01-24,168,÷–∂»Œ€»æ,128,158,77,1.4,51,70
2014-01-25,150,«·∂»Œ€»æ,115,148,62,1.3,56,50
2014-01-26,70,¡º,51,80,75,0.9,39,58
2014-01-27,78,¡º,35,106,66,0.7,27,50
2014-01-28,59,¡º,33,68,56,0.7,24,61
2014-01-29,79,¡º,47,107,70,0.9,29,58
2014-01-30,88,¡º,66,98,76,0.9,27,60
2014-01-31,214,÷ÿ∂»Œ€»æ,164,217,102,1.3,39,65
2014-02-01,176,÷–∂»Œ€»æ,133,165,100,1.5,40,78
2014-02-02,155,÷–∂»Œ€»æ,46,261,52,0.8,16,77
2014-02-03,53,¡º,22,57,44,0.7,15,63
2014-02-04,53,¡º,30,55,58,0.8,22,59
2014-02-05,79,¡º,58,86,72,1.1,33,59
2014-02-06,90,¡º,67,93,71,1.2,35,54
2014-02-07,98,¡º,73,103,90,1.1,39,44
2014-02-08,91,¡º,68,95,64,1,32,68
2014-02-09,74,¡º,54,77,57,0.8,35,62
2014-02-10,81,¡º,60,87,68,1,41,65
2014-02-11,78,¡º,58,86,84,1,46,66
2014-02-12,141,«·∂»Œ€»æ,108,149,80,1.3,57,72
2014-02-13,104,«·∂»Œ€»æ,79,106,84,1.1,52,68
2014-02-14,130,«·∂»Œ€»æ,99,155,90,1.3,49,64
2014-02-15,168,÷–∂»Œ€»æ,128,166,117,1.4,55,60
2014-02-16,140,«·∂»Œ€»æ,107,139,83,1.2,51,68
2014-02-17,166,÷–∂»Œ€»æ,126,164,68,1.4,64,66
2014-02-18,99,¡º,74,102,57,1.1,50,66
2014-02-19,97,¡º,73,116,87,1.2,59,73
2014-02-20,95,¡º,71,102,78,1.2,53,59
2014-02-21,90,¡º,67,101,69,1.1,56,82
2014-02-22,130,«·∂»Œ€»æ,99,146,82,1.2,68,80
2014-02-23,113,«·∂»Œ€»æ,85,120,79,1.1,69,67
2014-02-24,214,÷ÿ∂»Œ€»æ,164,225,107,1.8,78,69
2014-02-25,278,÷ÿ∂»Œ€»æ,228,286,83,2,67,76
2014-02-26,185,÷–∂»Œ€»æ,140,195,75,1.3,42,103
2014-02-27,56,¡º,29,61,37,0.6,26,82
2014-02-28,55,¡º,29,60,72,0.6,37,55
2014-03-01,60,¡º,38,71,48,0.6,32,69
2014-03-02,63,¡º,44,75,58,0.7,39,68
2014-03-03,62,¡º,41,74,59,0.7,37,68
