date,AQI,质量等级,PM2.5,PM10,SO2,CO,NO2,O3_8h
2014-01-01,195,中度污染,146,173,72,2.3,107,47
2014-01-02,197,中度污染,148,176,70,2.1,113,41
2014-01-03,260,重度污染,210,187,71,1.7,83,25
2014-01-04,154,中度污染,118,148,56,1.4,83,65
2014-01-05,158,中度污染,121,142,50,1.6,87,65
2014-01-06,170,中度污染,129,143,49,1.5,82,50
2014-01-07,238,重度污染,188,39,26,1.9,63,10
2014-01-09,191,中度污染,144,68,40,1.7,62,47
2014-01-10,180,中度污染,136,40,33,1.9,67,15
2014-01-11,70,良,51,32,19,1.1,42,32
2014-01-12,131,轻度污染,100,48,39,1.2,47,55
2014-01-13,211,重度污染,161,109,51,1.8,75,46
2014-01-14,213,重度污染,163,193,44,2.1,77,54
2014-01-15,153,中度污染,117,113,34,1.5,72,62
2014-01-16,177,中度污染,134,168,37,1.6,77,56
2014-01-17,265,重度污染,215,219,53,1.6,59,81
2014-01-18,236,重度污染,186,128,44,1.6,66,66
2014-01-19,182,中度污染,137,161,46,1.5,75,77
2014-01-20,202,重度污染,152,134,46,1.4,58,76
2014-01-21,100,良,75,110,31,1.2,72,51
2014-01-22,100,良,75,108,45,1.3,66,76
2014-01-23,111,轻度污染,84,122,44,1.3,65,83
2014-01-24,120,轻度污染,91,126,41,1.3,57,120
2014-01-25,219,重度污染,169,191,50,1.9,64,73
2014-01-26,309,严重污染,259,127,60,2.5,65,61
2014-01-27,356,严重污染,306,101,49,3,77,65
2014-01-28,319,严重污染,269,94,34,2.5,63,51
2014-01-29,295,重度污染,245,94,26,2.1,45,37
2014-01-30,276,重度污染,226,154,40,2.5,51,84
2014-01-31,320,严重污染,270,219,54,1.7,40,109
2014-02-01,117,轻度污染,89,108,38,1.4,38,111
2014-02-02,222,重度污染,172,143,29,1.9,41,103
2014-02-03,201,重度污染,151,162,20,2.2,35,80
2014-02-04,90,良,67,31,14,1.6,26,42
2014-02-05,50,优,35,1,10,1,22,26
2014-02-06,45,优,32,3,8,1,20,29
2014-02-07,102,轻度污染,76,24,20,1.2,26,29
2014-02-08,74,良,54,13,14,1.2,28,28
2014-02-09,89,良,67,34,18,1.2,24,48
2014-02-10,119,轻度污染,90,4,29,1.5,26,55
2014-02-11,88,良,65,39,29,1.1,26,66
2014-02-12,106,轻度污染,80,27,22,1.2,31,61
2014-02-13,111,轻度污染,84,30,22,1.2,26,63
2014-02-14,133,轻度污染,102,32,18,1.3,35,62
2014-02-15,108,轻度污染,82,70,20,1.4,41,47
2014-02-16,95,良,71,67,13,1.2,36,25
2014-02-17,92,良,69,24,13,1.3,32,21
2014-02-18,50,优,35,19,12,1.4,28,36
2014-02-19,63,良,46,47,21,1,30,68
2014-02-20,77,良,57,70,43,1.3,37,52
2014-02-21,89,良,66,119,50,1.9,66,64
2014-02-22,142,轻度污染,109,147,39,2.3,63,37
2014-02-23,222,重度污染,172,162,35,2.4,50,28
2014-02-24,92,良,69,33,19,2,41,14
2014-02-25,64,良,46,28,16,1.5,26,24
2014-02-26,104,轻度污染,78,94,17,1.4,33,41
2014-02-27,93,良,69,75,18,1.7,43,27
2014-02-28,19,优,14,9,12,1.4,28,16
2014-03-01,54,良,38,47,12,1.1,26,23
2014-03-02,72,良,52,59,15,1.3,32,22
2014-03-03,72,良,52,63,15,1.5,37,14
2014-03-04,124,轻度污染,94,105,25,1.4,36,27
2014-03-05,156,中度污染,119,129,31,2,51,36
2014-03-06,78,良,57,51,17,1.1,41,46
2014-03-07,40,优,28,33,10,0.8,32,56
2014-03-08,45,优,32,41,14,0.9,31,40
2014-03-09,76,良,56,82,18,1.4,47,68
2014-03-10,98,良,73,103,37,1.4,50,62
2014-03-11,79,良,59,72,32,1.4,43,39
2014-03-12,68,良,50,56,18,1.3,33,27
2014-03-13,126,轻度污染,96,149,21,1,30,39
2014-03-14,117,轻度污染,88,120,30,1.5,61,44
2014-03-15,122,轻度污染,92,130,53,1.7,54,59
2014-03-16,80,良,59,81,38,1.3,38,62
2014-03-17,60,良,40,70,37,1.4,38,75
2014-03-18,67,良,49,73,28,1.2,36,75
2014-03-19,155,中度污染,118,158,18,1.3,32,49
2014-03-20,91,良,67,88,15,0.8,25,57
2014-03-21,56,良,40,58,21,0.8,34,90
2014-03-22,94,良,70,103,32,1.3,56,82
2014-03-23,151,中度污染,116,142,37,1.8,65,33
2014-03-24,121,轻度污染,92,83,32,1.9,52,27
2014-03-25,97,良,73,88,25,1.6,47,75
2014-03-26,91,良,68,91,29,1.5,48,69
2014-03-27,62,良,45,63,19,1.2,48,37
2014-03-28,52,良,36,53,19,1.1,39,50
2014-03-29,63,良,34,76,16,0.7,32,100
2014-03-30,90,良,67,96,14,1,41,71
2014-03-31,79,良,58,76,17,0.9,31,96
2014-04-01,79,良,58,77,28,1.3,44,86
2014-04-02,120,轻度污染,91,122,46,1.5,75,67
2014-04-03,132,轻度污染,101,125,39,1.2,59,106
2014-04-04,122,轻度污染,92,122,23,1,49,107
2014-04-05,145,轻度污染,111,146,23,1.2,62,124
2014-04-06,100,良,75,41,10,0.9,35,78
2014-04-07,94,良,70,73,16,1.1,41,57
2014-04-08,102,轻度污染,76,107,26,1.7,53,88
2014-04-09,104,轻度污染,78,117,28,1.7,54,122
2014-04-10,86,良,64,96,27,1,43,108
2014-04-11,96,良,72,103,23,1.1,35,72
2014-04-12,59,良,42,54,9,1.1,23,38
2014-04-13,76,良,56,72,12,1,22,92
2014-04-14,72,良,52,75,19,1,39,90
2014-04-15,83,良,61,96,21,1.1,41,79
2014-04-16,119,轻度污染,90,107,16,1,29,42
2014-04-17,61,良,44,65,16,0.9,27,42
2014-04-18,99,良,74,112,25,1,33,80
2014-04-19,40,优,28,32,9,0.7,20,58
2014-04-20,45,优,32,42,9,0.6,22,58
2014-04-21,45,优,31,36,12,1.1,28,42
2014-04-22,53,良,37,53,14,0.7,28,71
2014-04-23,66,良,48,57,13,1,46,47
2014-04-24,49,优,34,41,10,1,43,23
2014-04-25,37,优,26,32,14,1.2,36,22
2014-04-26,35,优,24,29,13,1,28,43
2014-04-27,70,良,39,89,18,0.7,25,102
2014-04-28,93,良,57,135,27,0.8,48,96
2014-04-29,111,轻度污染,84,136,34,1.1,56,66
2014-04-30,112,轻度污染,84,134,29,1.4,57,88
2014-05-01,101,轻度污染,76,133,35,1.2,57,123
2014-05-02,107,轻度污染,69,164,25,0.8,49,116
2014-05-03,109,轻度污染,64,167,29,1,33,84
2014-05-04,62,良,44,55,9,1.1,25,60
2014-05-05,84,良,62,95,16,0.9,27,86
2014-05-06,91,良,68,112,32,1,45,138
2014-05-07,104,轻度污染,78,115,33,1.1,43,98
2014-05-08,71,良,52,71,26,1,34,71
2014-05-09,30,优,21,27,12,0.8,23,48
2014-05-10,33,优,22,33,12,0.8,25,41
2014-05-11,48,优,16,25,12,0.8,21,96
2014-05-12,78,良,35,68,21,1,42,133
2014-05-13,83,良,62,93,24,1.1,41,88
2014-05-14,105,轻度污染,79,81,11,0.9,20,69
2014-05-15,68,良,44,86,24,0.7,30,70
2014-05-16,92,良,69,105,30,1.1,39,61
2014-05-17,129,轻度污染,99,119,12,0.9,23,57
2014-05-18,136,轻度污染,104,124,23,1,29,44
2014-05-19,154,中度污染,118,134,20,1.2,40,39
2014-05-20,118,轻度污染,90,131,20,1.5,49,98
2014-05-21,101,轻度污染,76,103,12,1.2,46,59
2014-05-22,93,良,69,88,12,1,27,46
2014-05-23,58,良,41,63,13,0.8,28,68
2014-05-24,60,良,43,68,15,0.9,28,43
2014-05-25,69,良,50,61,10,1,25,49
2014-05-26,156,中度污染,99,263,24,0.6,29,65
2014-05-27,117,轻度污染,80,183,26,0.8,34,97
2014-05-28,133,轻度污染,101,207,32,1.3,52,102
2014-05-29,111,轻度污染,84,143,17,1.1,41,59
2014-05-30,91,良,68,94,12,1.1,35,44
2014-05-31,64,良,46,69,10,0.9,25,65
2014-06-01,53,良,37,56,14,0.8,25,63
2014-06-02,67,良,49,69,15,1,23,117
2014-06-03,86,良,64,90,18,0.8,25,127
2014-06-04,107,轻度污染,80,104,19,1,37,103
2014-06-05,102,轻度污染,76,81,10,0.9,25,68
2014-06-06,137,轻度污染,105,126,20,0.9,25,85
2014-06-07,120,轻度污染,91,116,24,1.1,28,123
2014-06-08,139,轻度污染,106,152,27,1.1,37,125
2014-06-09,178,中度污染,135,162,26,1.3,34,96
2014-06-10,104,轻度污染,78,95,13,1,30,85
2014-06-11,119,轻度污染,90,121,18,1,31,128
2014-06-12,132,轻度污染,101,148,19,1.1,41,163
2014-06-13,311,严重污染,261,268,19,1.6,34,169
2014-06-14,132,轻度污染,100,124,22,0.9,30,147
2014-06-15,164,中度污染,125,139,15,0.9,31,121
2014-06-16,111,轻度污染,84,79,12,0.9,23,93
2014-06-17,69,良,50,64,17,1.1,36,61
2014-06-18,63,良,44,76,25,1.2,36,102
2014-06-19,52,良,35,55,17,1,34,60
2014-06-20,29,优,14,29,8,0.8,27,30
2014-06-21,61,良,44,56,11,1,25,61
2014-06-22,81,良,60,88,16,0.9,24,78
2014-06-23,103,轻度污染,77,98,16,1.1,32,67
2014-06-24,45,优,32,41,9,0.6,24,60
2014-06-25,60,良,33,70,14,0.9,33,81
2014-06-26,53,良,37,53,11,0.9,27,42
2014-06-27,45,优,30,45,12,0.7,22,47
2014-06-28,69,良,50,73,18,0.8,26,64
2014-06-29,46,优,24,46,11,0.8,23,69
2014-06-30,87,良,65,98,14,1.1,26,82
2014-07-01,95,良,71,108,16,1.2,36,73
2014-07-02,77,良,57,77,12,1.1,31,40
2014-07-03,57,良,33,64,11,1.1,35,36
2014-07-04,42,优,24,42,11,1.3,30,46
2014-07-05,41,优,25,41,11,0.6,19,63
2014-07-06,53,良,38,56,14,0.7,24,76
2014-07-07,62,良,44,74,14,0.8,34,100
2014-07-08,80,良,59,94,17,0.7,38,102
2014-07-09,106,轻度污染,80,129,20,0.8,42,116
2014-07-10,102,轻度污染,76,132,16,0.9,40,90
2014-07-11,87,良,65,110,13,0.9,33,104
2014-07-12,63,良,46,58,12,0.7,26,58
2014-07-13,39,优,27,35,12,0.5,22,51
2014-07-14,44,优,24,44,15,0.8,37,52
2014-07-15,48,优,30,48,16,1,39,34
2014-07-16,51,良,32,53,16,1,39,27
2014-07-17,64,良,39,67,19,0.8,26,117
2014-07-18,59,良,39,59,16,0.7,29,111
2014-07-19,37,优,20,37,9,0.7,20,71
2014-07-20,63,良,38,76,19,1,28,89
2014-07-21,73,良,50,93,17,1,31,127
2014-07-22,82,良,60,102,21,0.9,33,131
2014-07-23,97,良,72,122,14,0.8,28,122
2014-07-24,116,轻度污染,88,130,16,0.9,21,129
2014-07-25,110,轻度污染,83,126,20,0.9,31,108
2014-07-26,78,良,58,79,16,0.6,22,110
2014-07-27,60,良,37,69,15,0.8,30,104
2014-07-28,74,良,54,91,18,0.9,30,95
2014-07-29,55,良,30,61,20,0.6,25,97
2014-07-30,62,良,34,74,28,0.6,28,109
2014-07-31,74,良,50,99,24,0.7,34,114
2014-08-01,74,良,37,69,15,0.6,24,129
2014-08-02,61,良,44,67,18,0.6,21,104
2014-08-03,62,良,39,73,23,0.6,30,100
2014-08-04,68,良,44,84,23,0.8,27,121
2014-08-05,82,良,60,93,16,0.8,30,115
2014-08-06,87,良,47,78,14,0.8,27,144
2014-08-07,62,良,45,62,15,0.8,22,109
2014-08-08,75,良,55,68,13,0.8,18,79
2014-08-09,102,轻度污染,77,112,16,1,23,68
2014-08-10,120,轻度污染,91,118,17,1.1,23,109
2014-08-11,87,良,65,69,16,1,27,79
2014-08-12,30,优,21,14,14,0.7,19,58
2014-08-13,41,优,18,26,12,0.5,18,81
2014-08-14,53,良,35,56,20,0.7,26,99
2014-08-15,59,良,42,58,16,1.1,34,74
2014-08-16,52,良,36,54,19,1,28,81
2014-08-17,59,良,42,64,18,0.9,33,64
2014-08-18,39,优,27,24,12,0.7,21,63
2014-08-19,42,优,19,33,14,0.6,21,83
2014-08-20,78,良,47,80,18,0.9,31,133
2014-08-21,113,轻度污染,86,134,24,1.2,43,153
2014-08-22,87,良,64,94,23,1,34,116
2014-08-23,67,良,48,76,20,0.9,32,90
2014-08-24,50,优,35,39,13,0.7,24,70
2014-08-25,52,良,34,54,16,0.8,35,78
2014-08-26,62,良,45,60,13,0.8,26,78
2014-08-27,61,良,40,62,14,0.8,23,113
2014-08-28,78,良,57,83,19,1,28,122
2014-08-29,91,良,68,93,16,0.9,30,107
2014-08-30,73,良,37,71,20,0.7,31,128
2014-08-31,60,良,41,70,24,0.9,30,107
2014-09-01,69,良,51,75,13,0.8,27,65
2014-09-02,83,良,61,86,21,0.9,34,80
2014-09-03,42,优,28,40,18,0.7,27,84
2014-09-04,71,良,43,71,18,0.8,37,125
2014-09-05,57,良,40,56,18,0.9,32,85
2014-09-06,82,良,51,79,19,1,32,138
2014-09-07,97,良,73,102,24,1.1,39,137
2014-09-08,89,良,66,90,18,1,25,132
2014-09-09,109,轻度污染,82,116,17,1.1,27,118
2014-09-10,76,良,56,78,15,0.9,31,96
